trade_id,symbol,entry_ts,exit_ts,entry,exit,qty,side,sl,tp,exit_reason,atr_at_entry,regime_up,rs_pct,pullback_type,entry_rule,don_break_len,fees,pnl,pnl_R,mae_over_atr,mfe_over_atr,markov_state_4h,markov_prob_up_4h,trend_regime_1d,vol_regime_1d,vol_prob_low_1d,regime_code_1d,regime_1d,markov_state_up_4h
1,AAVEUSDT,2025-01-22 00:30:00+00:00,2025-01-22 21:10:00+00:00,368.2900085449219,347.975602433521,0.4922614988182094,long,347.975602433521,449.5476329905255,sl,10.157203055700451,True,83.91608391608392,retest,close_above_break,20,0.1939244907667038,-10.193924490766705,-1.0193924490766704,2.0812830591757487,0.1289722723283108,,0.8321606063001753,,LOW_VOL,0.8694664606843605,,NA_LOW_VOL,1
2,RAYDIUMUSDT,2025-01-22 02:45:00+00:00,2025-01-25 02:45:00+00:00,7.659299850463867,7.720600128173828,17.759195827956994,long,7.096211290774822,9.911654089220043,time,0.2815442798445223,True,93.93939393939394,retest,close_above_break,20,0.1502240605442601,0.9384195756150832,0.0938419575615083,0.7476613043071385,3.663013666298909,,0.8321606063001753,,LOW_VOL,0.8694664606843605,,NA_LOW_VOL,1
3,HYPEUSDT,2025-01-22 08:45:00+00:00,2025-01-22 21:25:00+00:00,27.097000122070312,25.195205448968437,5.25819119247491,long,25.195205448968437,34.70417881447782,sl,0.9508973365509388,True,92.07459207459208,retest,close_above_break,20,0.1512293281227978,-10.151229328122795,-1.0151229328122795,2.084347357771755,0.0126187441985548,,0.844159444591812,,LOW_VOL,0.8694664606843605,,NA_LOW_VOL,1
4,1000TOSHIUSDT,2025-01-23 23:45:00+00:00,2025-01-25 16:10:00+00:00,0.5130000114440918,0.8513567512897955,118.2184224207878,long,0.4284108264826659,0.8513567512897955,tp_final,0.0422945924807129,True,99.76689976689975,retest,close_above_break,20,0.0887106572602432,39.91128934273976,3.991128934273976,1.1514475482477653,8.890025061640186,,0.6811086103099255,,LOW_VOL,0.8482306848069873,,NA_LOW_VOL,1
5,XCNUSDT,2025-01-25 02:30:00+00:00,2025-01-26 05:55:00+00:00,0.0241183992475271,0.0427744323578605,2144.078527489556,long,0.0194543909699437,0.0427744323578605,tp_final,0.0023320041387916,True,99.3006993006993,retest,close_above_break,20,0.0788829161384474,39.921117083861546,3.992111708386156,0.8185655942127767,8.108734105621236,,0.7183208084075158,,LOW_VOL,0.9172288369742788,,NA_LOW_VOL,1
6,LDOUSDT,2025-01-26 04:25:00+00:00,2025-01-27 00:00:00+00:00,2.164999961853028,2.0678577667693263,102.94187805189762,long,2.0678577667693263,2.5535687421878324,sl,0.0485710975418506,True,98.83449883449885,retest,close_above_break,20,0.239656078260981,-10.239656078260982,-1.023965607826098,2.244132273954793,1.2250079168562689,,0.8921663972202873,,LOW_VOL,0.8806603996982352,,NA_LOW_VOL,1
7,SPELLUSDT,2025-01-26 07:50:00+00:00,2025-01-26 21:15:00+00:00,0.0012125000357627,0.0015290954222381,126344.22897097425,long,0.0011333511891439,0.0015290954222381,tp_final,3.957442330942305e-05,True,96.96969696969695,retest,close_above_break,20,0.1905116203603008,39.80948837963975,3.9809488379639753,1.4479070640269047,10.400656699241804,,0.8921663972202873,,LOW_VOL,0.8806603996982352,,NA_LOW_VOL,1
8,SKLUSDT,2025-01-29 20:25:00+00:00,2025-01-31 17:50:00+00:00,0.0602499991655349,0.0549144699642315,1874.228332881608,long,0.0549144699642315,0.0815921159707485,sl,0.0026677646006516,True,91.01382488479264,retest,close_above_break,20,0.1187144810413527,-10.118714481041351,-1.011871448104135,2.0429085544055723,2.511466587184043,,0.7830944786728398,,LOW_VOL,0.8561088806684798,,NA_LOW_VOL,1
9,XMRUSDT,2025-01-30 05:20:00+00:00,2025-01-30 06:40:00+00:00,237.2400054931641,230.07752088851132,1.3961635594307658,long,230.07752088851132,265.88994391177494,sl,3.58124230232636,True,97.926267281106,retest,close_above_break,20,0.3588484355595814,-10.35884843555958,-1.0358848435559582,2.1919784926075216,0.1507837896871806,,0.6597660906197425,,LOW_VOL,0.6705515667147925,,NA_LOW_VOL,1
10,BELUSDT,2025-01-30 07:50:00+00:00,2025-02-02 07:50:00+00:00,0.7305999994277954,0.7942000031471252,225.02666506054933,long,0.6861608215316592,0.9083567110123402,time,0.022219588948068,True,100.0,retest,close_above_break,20,0.1887163627050633,14.122980372094265,1.4122980372094265,1.1026312167622836,3.325893405699862,,0.6597660906197425,,LOW_VOL,0.6705515667147925,,NA_LOW_VOL,1
11,ACHUSDT,2025-01-30 10:50:00+00:00,2025-02-01 02:45:00+00:00,0.0400880016386508,0.0536677505857694,2945.5625546367382,long,0.0366930644018712,0.0536677505857694,tp_final,0.0016974686183898,True,99.53917050691244,retest,close_above_break,20,0.1518898881687289,39.84811011183129,3.9848110111831287,0.8477337345797746,8.073784933381507,,0.6890123960564234,,LOW_VOL,0.6705515667147925,,NA_LOW_VOL,1
12,ONDOUSDT,2025-01-30 12:25:00+00:00,2025-01-31 20:50:00+00:00,1.552299976348877,1.4786878051690402,135.84710027869843,long,1.4786878051690402,1.846748661068224,sl,0.0368060855899183,True,90.55299539170508,retest,close_above_break,20,0.2264629956046558,-10.226462995604656,-1.0226462995604657,2.0512915251376835,2.3637398816894684,,0.7239604296754083,,LOW_VOL,0.6705515667147925,,NA_LOW_VOL,1
