family_id,symbol,event_count,event_share,rank
KDA01,PF_BRETTUSD,10260,0.003887666888331884,96
KDA01,PF_ANKRUSD,10240,0.0038800885903039466,97
KDA01,PF_TRUMPUSD,9806,0.003715639523097705,98
KDA01,PF_PENGUUSD,9798,0.00371260820388653,99
KDA01,PF_BATUSD,9773,0.0037031353313516082,100
KDA01,PF_FARTCOINUSD,9760,0.003698209437633449,101
KDA01,PF_CVXUSD,9084,0.003442062964289165,102
KDA01,PF_RAYUSD,9052,0.003429937687444465,103
KDA01,PF_SPXUSD,8751,0.0033158843021240075,104
KDA01,PF_VETUSD,8701,0.003296938557054164,105
KDA01,PF_VIRTUALUSD,8579,0.003250710939083746,106
KDA01,PF_API3USD,8248,0.003125290106721382,107
KDA01,PF_ZRXUSD,8176,0.0030980082338208075,108
KDA01,PF_DYMUSD,7785,0.0029498525073746312,109
KDA01,PF_MELANIAUSD,7738,0.0029320435070089783,110
KDA01,PF_WOOUSD,7677,0.002908929698023769,111
KDA01,PF_HYPEUSD,7604,0.002881268910221798,112
KDA01,PF_GMXUSD,7559,0.0028642177396589388,113
KDA01,PF_YGGUSD,7534,0.002854744867124017,114
KDA01,PF_ETHFIUSD,7260,0.0027509221841412745,115
KDA01,PF_BEAMUSD,7153,0.0027103782896918094,116
KDA01,PF_ZKUSD,7113,0.002695221693635935,117
KDA01,PF_GRASSUSD,7094,0.0026880223105093942,118
KDA01,PF_ALICEUSD,6469,0.0024512004971363505,119
KDA01,PF_BANDUSD,6183,0.002342830835336846,120
KDA01,PF_EIGENUSD,5876,0.0022265039606080067,121
KDA01,PF_ETHWUSD,5810,0.0022014955771158134,122
KDA01,PF_AGLDUSD,5720,0.002167393235990095,123
KDA01,PF_QTUMUSD,5715,0.002165498661483111,124
KDA01,PF_FLOWUSD,5694,0.0021575414485537764,125
KDA01,PF_SUSD,5690,0.002156025788948189,126
KDA01,PF_GRIFFAINUSD,5566,0.002109040341174977,127
KDA01,PF_TRUUSD,5538,0.002098430723935865,128
KDA01,PF_AIXBTUSD,5513,0.002088957851400943,129
KDA01,PF_UMAUSD,5487,0.0020791060639646247,130
KDA01,PF_FLRUSD,5479,0.0020760747447534497,131
KDA01,PF_HFTUSD,5477,0.002075316914950656,132
KDA01,PF_ALCHUSD,5312,0.0020127959562201724,133
KDA01,PF_SAGAUSD,5115,0.001938149720644989,134
KDA01,PF_SPELLUSD,4923,0.00186539805957679,135
KDA01,PF_OGNUSD,4826,0.0018286433141412935,136
KDA01,PF_CATUSD,4569,0.001731262184482298,137
