definition_id,family_id,state,symbol,feasible_row_count
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_AUCTIONUSD,981
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_AUCTIONUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_AVAXUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_AVAXUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_AVAXUSD,1151
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_AXSUSD,687
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_AXSUSD,1499
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_AXSUSD,114
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_BANANAUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_BANANAUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_BANANAUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_BANDUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_BANDUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_BANDUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_BATUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_BATUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_BATUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_BBUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_BBUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_BBUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_BCHUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_BCHUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_BCHUSD,1580
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_BEAMUSD,12281
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_BEAMUSD,13490
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_BEAMUSD,44
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_BERAUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_BERAUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_BERAUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_BIGTIMEUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_BIGTIMEUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_BIGTIMEUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_BIOUSD,2222
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_BIOUSD,3401
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_BIOUSD,39
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_BLURUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_BLURUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_BLURUSD,169
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_BNBUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_BNBUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_BNBUSD,986
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_BOMEUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_BOMEUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_BOMEUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_BONKUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_BONKUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_BONKUSD,832
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_BRETTUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_BRETTUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_BRETTUSD,128
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_CAKEUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_CAKEUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_CAKEUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_CATUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_CATUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_CATUSD,50
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_CFXUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_CFXUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_CFXUSD,39
