year,symbol,exact_aligned_rows,trade_coverage_rows,mark_coverage_rows,analytics_coverage_rows,eligible_rows,first_usable_ts,last_usable_ts
2023,PF_HFTUSD,45579,45579,45579,45579,576,2023-07-26 17:45:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_HFTUSD,105408,105408,105408,105408,72864,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_HFTUSD,104833,104833,104833,104833,12672,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_HYPEUSD,97950,97950,97950,97950,88129,2025-01-24 21:35:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_ICPUSD,86232,86232,86232,86232,84096,2023-03-07 14:00:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_ICPUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ICPUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_ICXUSD,86219,86219,86219,86219,84096,2023-03-07 15:05:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_ICXUSD,105408,105408,105408,105408,103968,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ICXUSD,104833,104833,104833,104833,0,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_IMXUSD,86255,86255,86255,86255,84096,2023-03-07 12:05:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_IMXUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_IMXUSD,104833,104833,104833,104833,39744,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_INJUSD,77880,77880,77880,77880,576,2023-04-05 14:00:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_INJUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_INJUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_IOTAUSD,7595,7595,7595,7595,0,2024-12-05 15:05:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_IOTAUSD,104833,104833,104833,104833,3456,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_IOUSD,96832,96832,96832,96832,1440,2025-01-28 18:45:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_IPUSD,85971,85971,85971,85971,38016,2025-03-07 11:50:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_JASMYUSD,77879,77879,77879,77879,576,2023-04-05 14:05:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_JASMYUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_JASMYUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_JTOUSD,2950,2950,2950,2950,0,2023-12-21 18:10:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_JTOUSD,105408,105408,105408,105408,68832,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_JTOUSD,104833,104833,104833,104833,89569,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_JUPUSD,96311,96311,96311,96311,68832,2024-02-01 14:05:00+00:00,2024-12-31 23:55:00+00:00
