year,symbol,major_vs_alt,direction,family_id,definition_id,state,event_count
2023,PF_1INCHUSD,alt,negative,KDA02,kda02_primary_oi_vacuum,OI_vacuum_with_modest_price_displacement,393
2023,PF_1INCHUSD,alt,positive,KDA02,kda02_primary_oi_vacuum,OI_vacuum_with_modest_price_displacement,407
2023,PF_AAVEUSD,alt,negative,KDA02,kda02_primary_active_purge,active_liquidation_purge,26
2023,PF_AAVEUSD,alt,negative,KDA02,kda02_primary_completed,completed_purge_reclaim_or_failure,51
2023,PF_AAVEUSD,alt,negative,KDA02,kda02_primary_oi_vacuum,OI_vacuum_with_modest_price_displacement,1195
2023,PF_AAVEUSD,alt,positive,KDA02,kda02_primary_active_purge,active_liquidation_purge,17
2023,PF_AAVEUSD,alt,positive,KDA02,kda02_primary_completed,completed_purge_reclaim_or_failure,35
2023,PF_AAVEUSD,alt,positive,KDA02,kda02_primary_oi_vacuum,OI_vacuum_with_modest_price_displacement,1305
2023,PF_ADAUSD,alt,negative,KDA02,kda02_primary_active_purge,active_liquidation_purge,86
2023,PF_ADAUSD,alt,negative,KDA02,kda02_primary_completed,completed_purge_reclaim_or_failure,177
2023,PF_ADAUSD,alt,negative,KDA02,kda02_primary_oi_vacuum,OI_vacuum_with_modest_price_displacement,2650
2023,PF_ADAUSD,alt,negative,KDA02,kda02_robust_active_purge,active_liquidation_purge,16
2023,PF_ADAUSD,alt,negative,KDA02,kda02_robust_completed,completed_purge_reclaim_or_failure,39
2023,PF_ADAUSD,alt,positive,KDA02,kda02_primary_active_purge,active_liquidation_purge,40
2023,PF_ADAUSD,alt,positive,KDA02,kda02_primary_completed,completed_purge_reclaim_or_failure,86
2023,PF_ADAUSD,alt,positive,KDA02,kda02_primary_oi_vacuum,OI_vacuum_with_modest_price_displacement,2603
2023,PF_ADAUSD,alt,positive,KDA02,kda02_robust_active_purge,active_liquidation_purge,6
2023,PF_ADAUSD,alt,positive,KDA02,kda02_robust_completed,completed_purge_reclaim_or_failure,12
