scope,threshold,n,pos_rate,mean_pnl_R,sum_pnl_R,win_rate,time_rate,mean_pnl_R_not_time,rank_by_mean_pnl,rank_by_sum_pnl
ALL,0.0,7514,0.2261112589832313,-0.1058346398611939,-795.241483917011,0.25645461804631353,0.16555762576523822,-0.30446011160185,41.0,41.0
ALL,0.02,7037,0.24030126474349864,-0.04748851559057836,-334.1766842108999,0.27270143527071194,0.17592724172232485,-0.24871718052869712,40.0,40.0
ALL,0.04,6467,0.25761558682542135,0.02737531973609635,177.0361927333351,0.2925622390598423,0.1872583887428483,-0.17418774482706298,39.0,39.0
ALL,0.06,5994,0.27177177177177175,0.08989599277583456,538.8365806983523,0.3078078078078078,0.1956956956956957,-0.10763000376039357,38.0,33.0
ALL,0.08,5584,0.28796561604584525,0.16146347181015155,901.6120265878862,0.3255730659025788,0.20522922636103152,-0.03158798257093631,37.0,27.0
ALL,0.1,5231,0.3020454979927356,0.22056832547788896,1153.7929105748372,0.3406614414069967,0.21353469699866182,0.032987136337788915,36.0,24.0
ALL,0.12,4865,0.3140801644398767,0.27355018268175035,1330.8216387467155,0.3537512846865365,0.2199383350462487,0.0911964226900331,35.0,20.0
ALL,0.14,4555,0.325576289791438,0.324380489166091,1477.5531281515446,0.366410537870472,0.2256860592755214,0.15049222923735472,34.0,18.0
ALL,0.16,4263,0.3368519821721792,0.37278057593521663,1589.1635952118286,0.37790288529204785,0.2291813277034952,0.20789140880918525,33.0,15.0
ALL,0.18,4005,0.3473158551810237,0.42280479872106147,1693.333218877851,0.3885143570536829,0.23270911360799001,0.26852761485835214,32.0,13.0
ALL,0.2,3764,0.359192348565356,0.4754867426472683,1789.732099324318,0.40010626992561105,0.23459086078639746,0.331953123720983,31.0,9.0
ALL,0.22,3521,0.3692132916785004,0.5253605998721202,1849.7946721497353,0.41096279466060776,0.23800056802044875,0.3953044647345415,30.0,7.0
ALL,0.24,3290,0.38267477203647415,0.5822018921078842,1915.4442250349389,0.42462006079027353,0.24316109422492402,0.4653451525366723,29.0,4.0
ALL,0.26,3112,0.3936375321336761,0.6310910520092182,1963.955353852687,0.43541131105398456,0.24453727506426734,0.5279460158136875,28.0,1.0
ALL,0.28,2884,0.40325936199722606,0.6783677614888598,1956.4126241338715,0.44625520110957007,0.24895977808599168,0.5891513400872366,27.0,2.0
ALL,0.3,2680,0.4126865671641791,0.7169328497107103,1921.3800372247035,0.45559701492537313,0.2511194029850746,0.6379402961513924,26.0,3.0
ALL,0.32,2482,0.4218372280419017,0.762626122387032,1892.8380357646133,0.4657534246575342,0.2518130539887188,0.6970436608987942,25.0,5.0
ALL,0.34,2273,0.4337879454465464,0.8138391992905039,1849.8564999873154,0.47822261328640564,0.25252969643642764,0.7564345630720521,24.0,6.0
ALL,0.36,2122,0.441564561734213,0.8500722363468942,1803.8532855281096,0.48633364750235625,0.2530631479736098,0.8056774397312977,23.0,8.0
ALL,0.38,1973,0.44703497212366955,0.8861757942417617,1748.4248420389958,0.49163710086163204,0.2483527622909275,0.8516336115949987,22.0,10.0
ALL,0.4,1829,0.46036085292509565,0.9421898112366065,1723.2651647517532,0.5046473482777474,0.24931656642974304,0.9220155662279781,21.0,11.0
ALL,0.42,1670,0.4754491017964072,1.0194066633039278,1702.4091277175594,0.5209580838323353,0.25329341317365267,1.0228107431179032,20.0,12.0
ALL,0.44,1530,0.48104575163398694,1.0591040580348985,1620.4292087933945,0.5254901960784314,0.2477124183006536,1.0749220055757807,19.0,14.0
ALL,0.46,1394,0.4949784791965567,1.1213020775408908,1563.0950960920018,0.5423242467718795,0.2539454806312769,1.152125609861256,18.0,16.0
ALL,0.48,1264,0.5102848101265823,1.1999918312544569,1516.7896747056334,0.5561708860759493,0.25158227848101267,1.2578209717765731,17.0,17.0
ALL,0.5,1154,0.5190641247833622,1.2497487566143914,1442.2100651330077,0.5675909878682842,0.24956672443674177,1.330936026323665,16.0,19.0
ALL,0.52,1037,0.5245901639344263,1.2786750818704444,1325.9860598996509,0.5756991321118612,0.25747348119575697,1.3716116606966424,15.0,21.0
ALL,0.54,931,0.5338345864661654,1.343323430327901,1250.6341136352758,0.5843179377013964,0.24704618689581095,1.4510637621678195,14.0,22.0
ALL,0.56,820,0.55,1.4398861747126563,1180.7066632643782,0.6048780487804878,0.24390243902439024,1.5740733917309093,13.0,23.0
ALL,0.58,717,0.5620641562064156,1.4992122604626665,1074.9351907517319,0.6080892608089261,0.23291492329149233,1.6328212113967866,12.0,25.0
ALL,0.6,639,0.5665101721439749,1.5373552646403166,982.3700141051622,0.6118935837245696,0.2222222222222222,1.6753835089181022,11.0,26.0
ALL,0.62,562,0.5747330960854092,1.5670550200249485,880.684921254021,0.6174377224199288,0.2277580071174377,1.7102178701032458,10.0,28.0
ALL,0.64,487,0.5954825462012321,1.7043714870070912,830.0289141724534,0.6344969199178645,0.20944558521560575,1.86536833248369,9.0,29.0
ALL,0.66,425,0.5905882352941176,1.7113316523615423,727.3159522536555,0.6305882352941177,0.18823529411764706,1.8534963822875423,8.0,30.0
ALL,0.68,367,0.5940054495912807,1.728208739803587,634.2526075079164,0.6294277929155313,0.17983651226158037,1.8757485855724318,7.0,31.0
ALL,0.7000000000000001,314,0.6146496815286624,1.8205872044352442,571.6643821926667,0.6464968152866242,0.1751592356687898,1.9615384362288382,6.0,32.0
ALL,0.72,264,0.625,1.8753678158760796,495.09710339128503,0.6515151515151515,0.16287878787878787,2.000656189798253,5.0,34.0
ALL,0.74,207,0.6618357487922706,2.0494060178868887,424.22704570258594,0.6908212560386473,0.1642512077294686,2.205697679624691,3.0,35.0
ALL,0.76,175,0.6685714285714286,2.0617042901026386,360.79825076796175,0.6971428571428572,0.1657142857142857,2.221186350310358,2.0,36.0
ALL,0.78,142,0.6619718309859155,1.9796844599286822,281.1151933098729,0.6901408450704225,0.18309859154929578,2.156804035940927,4.0,37.0
ALL,0.8,112,0.6785714285714286,2.084896254621182,233.5083805175724,0.6964285714285714,0.15178571428571427,2.230017714239066,1.0,38.0
RISK_ON_1,0.0,1744,0.31536697247706424,0.25724142048906606,448.62903733293126,0.34461009174311924,0.18979357798165136,0.07658936896182747,36.0,31.0
RISK_ON_1,0.02,1694,0.32408500590318773,0.2938303525084294,497.7486171492794,0.3541912632821724,0.19480519480519481,0.11632755844193071,35.0,29.0
RISK_ON_1,0.04,1612,0.3393300248138958,0.36070557940105674,581.4573939945035,0.3709677419354839,0.20471464019851116,0.18906362446179212,34.0,26.0
RISK_ON_1,0.06,1533,0.3542074363992172,0.4243686802540665,650.557186829484,0.38551859099804303,0.21069797782126548,0.2616142875477868,33.0,23.0
RISK_ON_1,0.08,1462,0.3693570451436389,0.4996106558956772,730.4307789194801,0.4021887824897401,0.2188782489740082,0.3495184353008562,32.0,20.0
RISK_ON_1,0.1,1399,0.38098641887062185,0.5482722555422105,767.0328855035525,0.4145818441744103,0.22516082916368835,0.4078022830755849,31.0,18.0
RISK_ON_1,0.12,1326,0.3974358974358974,0.6206356524126554,822.962875099181,0.43288084464555054,0.23529411764705882,0.4947310230319899,30.0,16.0
RISK_ON_1,0.14,1261,0.408406026962728,0.6693941543776245,844.1060286701845,0.4456780333068993,0.24107850911974624,0.5539849519459301,29.0,12.0
RISK_ON_1,0.16,1201,0.4238134887593672,0.733591625037009,881.0435416694478,0.4621149042464613,0.2456286427976686,0.6295553215404049,28.0,10.0
RISK_ON_1,0.18,1144,0.4396853146853147,0.8008008624261169,916.1161866154778,0.479020979020979,0.2534965034965035,0.712950424103841,27.0,8.0
RISK_ON_1,0.2,1088,0.45496323529411764,0.8654008291536192,941.5561021191377,0.49356617647058826,0.25827205882352944,0.7960531399600278,26.0,4.0
RISK_ON_1,0.22,1023,0.46920821114369504,0.9372177788726438,958.7737877867146,0.509286412512219,0.2619745845552297,0.8955986442681487,25.0,3.0
RISK_ON_1,0.24,977,0.48004094165813715,0.9872334253158568,964.527056533592,0.5220061412487206,0.2671443193449335,0.9653383010725304,24.0,1.0
RISK_ON_1,0.26,940,0.48723404255319147,1.025457453000805,963.9300058207567,0.5287234042553192,0.2648936170212766,1.023426802229727,23.0,2.0
RISK_ON_1,0.28,887,0.49492671927846676,1.0564277045695885,937.051373953225,0.5355129650507328,0.26944757609921083,1.067120253725375,22.0,5.0
RISK_ON_1,0.3,836,0.507177033492823,1.1014251307749974,920.7914093278979,0.5466507177033493,0.27392344497607657,1.1267920441979777,21.0,6.0
RISK_ON_1,0.32,785,0.5235668789808917,1.172413911050448,920.3449201746016,0.5643312101910828,0.2764331210191083,1.2224080441664649,20.0,7.0
RISK_ON_1,0.34,721,0.5381414701803051,1.2465872379707028,898.7893985768767,0.579750346740638,0.2787794729542302,1.32448293946389,19.0,9.0
RISK_ON_1,0.36,680,0.5455882352941176,1.2763241730910995,867.9004377019477,0.586764705882353,0.27794117647058825,1.3718572126940658,18.0,11.0
RISK_ON_1,0.38,635,0.552755905511811,1.3278462460550862,843.1823662449797,0.5968503937007874,0.2740157480314961,1.4302954101649654,17.0,13.0
RISK_ON_1,0.4,594,0.569023569023569,1.3990446115154243,831.032499240162,0.6127946127946128,0.26936026936026936,1.514226668661029,16.0,14.0
RISK_ON_1,0.42,549,0.5919854280510018,1.5069346164706388,827.3071044423807,0.6375227686703097,0.28051001821493626,1.664536196272925,15.0,15.0
RISK_ON_1,0.44,506,0.5948616600790514,1.566679919345867,792.7400391890087,0.6403162055335968,0.2648221343873518,1.736742346783506,14.0,17.0
RISK_ON_1,0.46,453,0.6181015452538632,1.6809263977546254,761.4596581828453,0.6666666666666666,0.2671081677704194,1.8901952533822168,13.0,19.0
RISK_ON_1,0.48,417,0.6258992805755396,1.7488321663582875,729.2630133714059,0.6714628297362111,0.2541966426858513,1.9751204743810438,12.0,21.0
RISK_ON_1,0.5,381,0.6377952755905512,1.8175250188826233,692.4770321942794,0.6876640419947506,0.25196850393700787,2.0569686336599755,11.0,22.0
RISK_ON_1,0.52,341,0.6422287390029325,1.8574838524200743,633.4019936752453,0.6950146627565983,0.25806451612903225,2.111509228314809,10.0,24.0
RISK_ON_1,0.54,305,0.6557377049180327,1.9694744552059584,600.6897088378173,0.7081967213114754,0.23934426229508196,2.244756646139361,9.0,25.0
RISK_ON_1,0.56,277,0.6606498194945848,2.0587256860853937,570.267015045654,0.7184115523465704,0.22382671480144403,2.3408183248012624,8.0,27.0
RISK_ON_1,0.58,241,0.6887966804979253,2.193722576184112,528.6871408603711,0.7385892116182573,0.21161825726141079,2.4689999845451727,6.0,28.0
RISK_ON_1,0.6,222,0.6891891891891891,2.1917113054391506,486.5599098074914,0.7342342342342343,0.20270270270270271,2.4719050270620615,7.0,30.0
RISK_ON_1,0.62,194,0.7010309278350515,2.2389059220723717,434.3477488820401,0.7474226804123711,0.21649484536082475,2.55429486476813,5.0,32.0
RISK_ON_1,0.64,176,0.7102272727272727,2.3172532789420264,407.8365770937967,0.7443181818181818,0.18181818181818182,2.5800830430851196,4.0,33.0
RISK_ON_1,0.66,151,0.7152317880794702,2.3694495624723317,357.7868839333221,0.7483443708609272,0.1456953642384106,2.573014536876928,3.0,34.0
RISK_ON_1,0.68,133,0.7142857142857143,2.3863508040225354,317.3846569349972,0.7518796992481203,0.14285714285714285,2.6084959364622606,2.0,35.0
RISK_ON_1,0.7000000000000001,109,0.7522935779816514,2.617325059675756,285.2884315046574,0.7889908256880734,0.13761467889908258,2.851362480004334,1.0,36.0
