score_bin,n,mean_score,mean_pnl_R,sum_pnl_R,tp_rate,sl_rate,time_rate,mean_hours,mean_mfe_over_atr,mean_mae_over_atr
"(0.00196, 0.0632]",815,0.042022643568189584,-0.9158818183431394,-746.4436819496586,0.014723926380368098,0.9349693251533743,0.05030674846625767,14.233128834355828,1.1445248309262528,2.1678181965088315
"(0.0632, 0.0968]",815,0.07997911341355451,-0.8118370607816264,-661.6472045370256,0.024539877300613498,0.8871165644171779,0.08834355828220859,19.822188139059307,1.5706164245536087,2.1518572566525185
"(0.0968, 0.131]",815,0.11397281161086234,-0.5588938958217581,-455.4985250947328,0.05766871165644172,0.8306748466257668,0.1116564417177914,24.26850715746421,2.1265767178799804,2.084736722349751
"(0.131, 0.17]",815,0.15058176489291994,-0.3713215648817293,-302.6270753786094,0.07975460122699386,0.7644171779141105,0.1558282208588957,27.921983640081802,2.396502413327137,2.0060952035491506
"(0.17, 0.211]",815,0.18961005453683608,-0.21755245793965683,-177.3052532208203,0.09325153374233129,0.7079754601226994,0.19877300613496932,30.748057259713704,2.81261425483488,1.984587502837395
"(0.211, 0.261]",814,0.23532702863543703,-0.006489989863054096,-5.282851748526034,0.12530712530712532,0.6633906633906634,0.2113022113022113,33.20577395577396,3.1354443174218,1.9470931461263121
"(0.261, 0.323]",815,0.2906843869580452,0.1362343769081872,111.03101718017257,0.150920245398773,0.6233128834355828,0.22576687116564417,34.96073619631902,3.4961349072299313,1.900527906979288
"(0.323, 0.396]",815,0.3565311100711236,0.4778629925853771,389.45833895708233,0.19631901840490798,0.5533742331288344,0.25030674846625767,37.405010224948875,4.081740945652304,1.729933066297294
"(0.396, 0.515]",815,0.45140898039462063,0.9079758258123112,740.0002980370336,0.2846625766871166,0.4539877300613497,0.26134969325153373,37.821983640081804,4.772597756236451,1.5517534283244216
"(0.515, 0.945]",815,0.6275096539534911,1.7214665152748287,1402.9952099489853,0.4441717791411043,0.31533742331288345,0.24049079754601227,35.224539877300614,5.9902090370121766,1.2791069977978742
