group,n,mae_over_atr_q5,mae_over_atr_q25,mae_over_atr_q50,mae_over_atr_q75,mae_over_atr_q95,mae_over_atr_mean,mfe_over_atr_q5,mfe_over_atr_q25,mfe_over_atr_q50,mfe_over_atr_q75,mfe_over_atr_q95,mfe_over_atr_mean,mae_frac_sl_q5,mae_frac_sl_q25,mae_frac_sl_q50,mae_frac_sl_q75,mae_frac_sl_q95,mae_frac_sl_mean,mfe_frac_tp_q5,mfe_frac_tp_q25,mfe_frac_tp_q50,mfe_frac_tp_q75,mfe_frac_tp_q95,mfe_frac_tp_mean,pnl_R_q5,pnl_R_q25,pnl_R_q50,pnl_R_q75,pnl_R_q95,pnl_R_mean
SL,5488,2.006596448353031,2.04581154010211,2.119707351009465,2.2732123570291702,2.9941254323434543,2.2698715961789433,0.0,0.33145329227332154,1.04635521955925,2.1956083626821923,4.9325030267296786,1.5322701324808512,1.0032982241765023,1.0229057700510555,1.0598536755046757,1.1366061785145862,1.4970627161716614,1.1349357980894481,0.0,0.041431661534164894,0.13079440244490553,0.27445104533527026,0.6165628783412292,0.1915337665601011,-1.0546101532311514,-1.0306290955280526,-1.02183950836423,-1.015082397113345,-1.0084011921525255,-1.0471347502225348
TIME,1462,0.30743854602066456,0.853257370686999,1.30222527042568,1.6626587507139399,1.9287251989210057,1.2301612211723627,1.402060014260115,3.1934725745331747,4.723005080757735,6.196882051934208,7.579859424365355,4.6507117332479195,0.15371927301032498,0.4266286853434862,0.6511126352128407,0.8313293753569193,0.9643625994601798,0.6150806105861654,0.17525750178251337,0.39918407181664795,0.590375635094714,0.774610256491722,0.9474824280455724,0.5813389666559764,-0.5003848566971045,0.08695780923364696,0.7306322739439125,1.5837585813574302,2.6812277514026377,0.8759791091397986
TP,1199,0.1399282496813062,0.4264463025675985,0.813064685244368,1.30182525044074,1.8243549917227928,0.8902102293740203,8.021695502431786,8.1168540710924,8.29562402000114,8.664565710794655,10.581083994301315,8.743035214974931,0.06996412484065379,0.21322315128379898,0.4065323426221768,0.6509126252203651,0.9121774958613685,0.4451051146870024,1.0027119378039608,1.0146067588864627,1.0369530025000582,1.0830707138493207,1.3226354992876685,1.0928794018718326,3.943034051695876,3.964064851587645,3.9749512431129,3.9821558174811402,3.9886623882700287,3.970537384364292
