group,n,hours_in_trade_q5,hours_in_trade_q25,hours_in_trade_q50,hours_in_trade_q75,hours_in_trade_q95,hours_in_trade_mean
SL,5488,1.1666666666666667,5.416666666666667,12.5,27.083333333333332,57.02499999999994,18.387998056365404
TIME,1462,72.0,72.0,72.0,72.0,72.0,71.95742134062928
TP,1199,5.166666666666667,13.916666666666666,25.166666666666668,42.08333333333333,64.675,29.003683625243255
