product_id,ticker,underlying_asset,effective_trading_date,product_active,authoritative_value_available,first_publication_reconstructable,revision_versioned,measure_type,coverage_status
BTC_GBTC,GBTC,BTC,2024-01-11,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-01-12,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-01-16,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-01-17,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-01-18,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-01-19,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-01-22,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-01-23,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-01-24,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-01-25,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-01-26,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-01-29,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-01-30,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-01-31,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-02-01,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-02-02,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-02-05,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-02-06,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-02-07,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-02-08,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-02-09,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-02-12,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-02-13,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-02-14,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-02-15,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-02-16,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-02-20,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-02-21,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-02-22,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-02-23,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-02-26,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-02-27,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-02-28,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-02-29,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-03-01,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-03-04,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-03-05,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-03-06,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-03-07,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-03-08,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-03-11,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-03-12,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-03-13,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-03-14,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-03-15,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-03-18,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-03-19,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-03-20,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-03-21,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-03-22,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-03-25,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-03-26,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-03-27,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-03-28,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-04-01,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-04-02,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
