feature,scope,month,mean_bin0,mean_bin9,delta_mean_pnl_R
adx_1h,ALL,2023-01,-0.0661641451549726,-0.7835647272213225,-0.7174005820663499
adx_1h,ALL,2023-02,-0.25879027550465,-0.4021924876086504,-0.1434022121040004
adx_1h,ALL,2023-03,-1.04195872424592,0.6532217564619766,1.6951804807078967
adx_1h,ALL,2023-04,-0.28093042752348024,-1.1796863696633964,-0.898755942139916
adx_1h,ALL,2023-05,-0.20926458104880163,0.002755307212481073,0.2120198882612827
adx_1h,ALL,2023-06,-1.0461447767666,0.33876246237717406,1.384907239143774
adx_1h,ALL,2023-07,-0.7036510706947298,-0.515605760577331,0.18804531011739878
adx_1h,ALL,2023-08,-1.0622766328323225,0.2303898670647241,1.2926664998970467
adx_1h,ALL,2023-09,-0.7372399531388567,-0.9427549728802243,-0.20551501974136754
adx_1h,ALL,2023-10,0.6492086664765487,0.13149478815496615,-0.5177138783215826
adx_1h,ALL,2023-11,-0.45018867672706797,0.009991934918801178,0.46018061164586915
adx_1h,ALL,2023-12,0.26989853330354263,0.4064317503928426,0.13653321708929994
adx_1h,ALL,2024-01,-0.8936830706000041,-1.0127398341264024,-0.11905676352639838
adx_1h,ALL,2024-02,0.6740729136334336,0.42289863833189717,-0.2511742753015364
adx_1h,ALL,2024-03,0.09837565599235759,-0.1590566955689374,-0.25743235156129496
adx_1h,ALL,2024-04,-1.0146013177276867,-0.9464687806855365,0.06813253704215017
adx_1h,ALL,2024-05,-0.38200710164894325,-0.6516927638380366,-0.2696856621890934
adx_1h,ALL,2024-06,-0.9330751775324022,-2.3624010278488097,-1.4293258503164075
adx_1h,ALL,2024-07,-0.5934080295542148,-0.4482896114437128,0.14511841811050197
adx_1h,ALL,2024-08,-0.3487257961990921,-0.1883510984300583,0.16037469776903382
adx_1h,ALL,2024-09,0.8455871035386275,-0.22221949912370165,-1.0678066026623292
adx_1h,ALL,2024-10,-0.08932033321289123,-0.3175820387278829,-0.22826170551499164
adx_1h,ALL,2024-11,0.10032210314410904,0.6203664946049197,0.5200443914608106
adx_1h,ALL,2024-12,1.2195195810899102,0.1092923727570447,-1.1102272083328655
adx_1h,ALL,2025-01,-0.9827622965617189,-0.8096559285394337,0.17310636802228518
adx_1h,ALL,2025-02,2.2974158377502065,-0.02455598392989284,-2.3219718216800995
adx_1h,ALL,2025-03,-0.8258084205390632,-0.429257509182701,0.3965509113563622
adx_1h,ALL,2025-04,-0.07764705495128528,0.19999080634254662,0.2776378612938319
adx_1h,ALL,2025-05,-0.20404837278671367,1.4724825425721628,1.6765309153588766
adx_1h,ALL,2025-06,-1.053345809044045,-0.3225185045978395,0.7308273044462056
adx_1h,ALL,2025-07,0.5267535245364923,0.17893017759037863,-0.3478233469461136
adx_1h,ALL,2025-08,-0.003984139394958721,0.15436364978146688,0.1583477891764256
adx_1h,ALL,2025-09,-0.27579551588281925,0.41622066073594643,0.6920161766187657
adx_1h,ALL,2025-10,-0.03478142932411199,0.23197194462837156,0.26675337395248355
adx_1h,ALL,2025-11,-0.19870341477101502,0.08281859627509082,0.28152201104610586
asset_macd_hist_1h,ALL,2023-01,-0.09589006147701881,-0.8560450329144805,-0.7601549714374617
asset_macd_hist_1h,ALL,2023-02,0.41870245507870524,-0.4302126217309567,-0.8489150768096619
asset_macd_hist_1h,ALL,2023-03,-0.03127101098908162,0.43429680444881996,0.4655678154379016
asset_macd_hist_1h,ALL,2023-04,-0.18079555389547913,0.006868515418920481,0.1876640693143996
asset_macd_hist_1h,ALL,2023-05,0.181338261129544,-1.0534145398689734,-1.2347528009985174
asset_macd_hist_1h,ALL,2023-06,-0.051071338328825835,2.0442803532107385,2.0953516915395642
asset_macd_hist_1h,ALL,2023-07,-0.6277643948793588,-0.846263954287426,-0.2184995594080672
asset_macd_hist_1h,ALL,2023-08,0.755122615972682,-1.02089300514326,-1.7760156211159421
asset_macd_hist_1h,ALL,2023-09,1.2684553625681645,-0.41800822996919285,-1.6864635925373572
asset_macd_hist_1h,ALL,2023-10,0.06545044603315932,0.1462128412219699,0.08076239518881058
asset_macd_hist_1h,ALL,2023-11,0.28471225084127955,-0.018003819007111156,-0.3027160698483907
asset_macd_hist_1h,ALL,2023-12,0.568681835042174,0.679998493999476,0.11131665895730203
asset_macd_hist_1h,ALL,2024-01,-0.8351576747106598,0.26772252782850126,1.102880202539161
asset_macd_hist_1h,ALL,2024-02,-0.021569164208311245,0.32431237369868304,0.3458815379069943
asset_macd_hist_1h,ALL,2024-03,-0.06375607900045727,-0.30610037947473107,-0.2423443004742738
asset_macd_hist_1h,ALL,2024-04,0.06975307274979643,-0.4828040936843082,-0.5525571664341047
asset_macd_hist_1h,ALL,2024-05,-0.334877792135177,0.051223662001422234,0.38610145413659924
asset_macd_hist_1h,ALL,2024-06,-0.33884344724653276,-0.8895370163254707,-0.5506935690789379
asset_macd_hist_1h,ALL,2024-07,-0.6009949751644988,-0.3771810563011885,0.22381391886331037
asset_macd_hist_1h,ALL,2024-08,-0.9560042760282462,0.011657472536725524,0.9676617485649718
asset_macd_hist_1h,ALL,2024-09,-0.21055861909880622,-0.03213932050352706,0.17841929859527916
asset_macd_hist_1h,ALL,2024-10,-0.0921363838146269,-0.052421676642850114,0.03971470717177678
asset_macd_hist_1h,ALL,2024-11,-0.07181544649154625,0.5581383650989507,0.6299538115904969
asset_macd_hist_1h,ALL,2024-12,0.09147550084620246,-0.06882012365046683,-0.1602956244966693
asset_macd_hist_1h,ALL,2025-01,-0.7759326198372112,-0.27667068371888287,0.4992619361183283
asset_macd_hist_1h,ALL,2025-02,-0.04439862554059556,-0.6470396478661237,-0.6026410223255281
asset_macd_hist_1h,ALL,2025-03,-0.4604766620760217,-0.17512940073659858,0.2853472613394231
asset_macd_hist_1h,ALL,2025-04,-0.04554280097276759,0.7102504822398948,0.7557932832126625
asset_macd_hist_1h,ALL,2025-05,-0.3803235566313457,0.9699265784294735,1.3502501350608191
asset_macd_hist_1h,ALL,2025-06,-0.5788603071788115,-0.33459752117099373,0.2442627860078178
asset_macd_hist_1h,ALL,2025-07,0.2974505724177166,0.5471971672646849,0.24974659484696832
asset_macd_hist_1h,ALL,2025-08,-0.4519748572132267,-0.24241258375445687,0.20956227345876985
asset_macd_hist_1h,ALL,2025-09,-0.6642219880802903,0.7042250767477162,1.3684470648280065
