feature,slice,state,n_bin0,n_bin9,mean_pnl_R_bin0,mean_pnl_R_bin9,delta_mean_pnl_R,time_rate_bin0,time_rate_bin9,delta_time_rate,mean_pnl_R_not_time_bin0,mean_pnl_R_not_time_bin9,delta_mean_pnl_R_not_time,spearman_pnl_R,spearman_time_rate,rank_abs_delta_pnl,rank_pnl_minus_time
vol_prob_low_1d,risk_on,1,313,213,1.5040588299812732,-0.21592839459847976,-1.719987224579753,0.2971246006389776,0.15023474178403756,-0.14688985885494005,1.5872087239795476,-0.34098224578313807,-1.9281909697626856,-0.6785714285714287,-0.14285714285714288,1.719987224579753,-1.646542295152283
vol_prob_low_1d,S5_btcRisk_x_regimeUp,5,313,213,1.5040588299812732,-0.21592839459847976,-1.719987224579753,0.2971246006389776,0.15023474178403756,-0.14688985885494005,1.5872087239795476,-0.34098224578313807,-1.9281909697626856,-0.6785714285714287,-0.14285714285714288,1.719987224579753,-1.646542295152283
asset_rsi_4h,ALL,0,815,815,-0.5459914437895761,0.8014140033068902,1.3474054470964663,0.18159509202453988,0.19141104294478528,0.009815950920245398,-0.7818415759213994,0.7845200967406115,1.5663616726620109,0.9999999999999999,0.5471149893120582,1.3474054470964663,1.3424974716363436
asset_rsi_4h,S1_regime_code_1d,3,397,352,-0.564286811158379,0.7313782517158905,1.2956650628742694,0.19143576826196473,0.17329545454545456,-0.018140313716510176,-0.800986517379723,0.7322077406384623,1.5331942580181854,0.9272727272727272,0.10303030303030303,1.2956650628742694,1.3047352197325246
rs_pct,S1_regime_code_1d,3,410,409,-0.4363621600915643,0.8018177199468067,1.238179880038371,0.0975609756097561,0.20293398533007334,0.10537300972031724,-0.5876406803665547,0.8111140249595262,1.398754705326081,0.9999999999999999,0.9515151515151514,1.238179880038371,1.1854933751782124
asset_rsi_4h,risk_on,0,657,469,-0.5478692181689173,0.6631256390402533,1.2109948572091707,0.1750380517503805,0.16417910447761194,-0.010858947272768565,-0.7796531199575853,0.6513475244782375,1.431000644435823,0.9878787878787878,-0.10303030303030303,1.2109948572091707,1.216424330845555
rs_pct,risk_on,0,491,654,-0.35851085367393165,0.6014885272724331,0.9599993809463647,0.1120162932790224,0.21253822629969418,0.10052193302067178,-0.5399401634227796,0.559107426586475,1.0990475900092547,0.9878787878787878,0.8787878787878788,0.9599993809463647,0.9097384144360289
rs_pct,ALL,0,815,813,-0.24318730596683283,0.6658880724958971,0.9090753784627299,0.12883435582822086,0.2091020910209102,0.08026773519268934,-0.4360121623245278,0.650332439276269,1.0863446016007967,0.9878787878787878,0.6848484848484848,0.9090753784627299,0.8689415108663853
rsi_1h,S1_regime_code_1d,3,391,387,-0.3285270639700387,0.46510132878740656,0.7936283927574452,0.2506393861892583,0.1343669250645995,-0.1162724611246588,-0.6669274681749452,0.4277577311714056,1.0946851993463507,0.9151515151515152,-0.7333333333333332,0.7936283927574452,0.8517646233197746
rsi_1h,ALL,0,815,815,-0.24958328062928536,0.522087770962566,0.7716710515918513,0.2588957055214724,0.15950920245398773,-0.09938650306748467,-0.5587929832969118,0.44450469984327834,1.00329768314019,0.9878787878787878,-0.6727272727272726,0.7716710515918513,0.8213643031255937
rsi_1h,risk_on,0,638,507,-0.35926829401419275,0.3116333274296105,0.6709016214438033,0.23824451410658307,0.1242603550295858,-0.11398415907699727,-0.6516442616975109,0.2299576282160843,0.8816018899135951,0.8181818181818182,-0.8545454545454544,0.6709016214438033,0.7278937009823019
vol_prob_low_1d,ALL,0,825,811,0.5524424810764726,-0.10589110642419461,-0.6583335875006673,0.2109090909090909,0.17262638717632553,-0.03828270373276538,0.4409593719288149,-0.27084845780913996,-0.7118078297379549,-0.43030303030303024,0.11515151515151514,0.6583335875006673,-0.6391922356342846
asset_macd_hist_4h,S1_regime_code_1d,3,385,440,-0.4953009651910889,0.13233404949395564,0.6276350146850446,0.15064935064935064,0.17954545454545454,0.028896103896103892,-0.7036236491492374,-0.06162888240795941,0.641994766741278,0.6969696969696969,0.7939393939393938,0.6276350146850446,0.6131869627369926
prior_1d_ret,S1_regime_code_1d,3,403,387,-0.49984880922182406,0.12638573345912196,0.626234542680946,0.18858560794044665,0.16279069767441862,-0.025794910266028037,-0.778528190681111,0.05458649831859416,0.8331146889997052,0.5636363636363636,0.32121212121212117,0.626234542680946,0.63913199781396
