definition_id,branch_id,attempt,parent_direction,mechanism,timeout_hours,decision,entry,maximum_entry_delay_minutes,exit,maximum_exit_delay_minutes,position,base_round_trip_bps,stress_round_trip_bps,funding,primary_inference_cluster,sensitivity_clusters,robustness_only,can_rescue_primary,definition_contract_hash
kda02_v2_primary_negative_completed_purge_reversal_timeout_1h,primary_negative_completed_purge_reversal,primary,negative,completed_purge_reversal,1,completed_trade_and_mark_confirmation_bar_availability,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_1h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,1e12943e7ff557efe587cc9066c2911f1f1efdbc1628f64a63c7fc407275ac94
kda02_v2_primary_negative_completed_purge_reversal_timeout_6h,primary_negative_completed_purge_reversal,primary,negative,completed_purge_reversal,6,completed_trade_and_mark_confirmation_bar_availability,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_6h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,36379bac93aca32d0893e1c4b45f4c351ee277238819baf3a83bbe5ad5dbe742
kda02_v2_primary_positive_completed_purge_reversal_timeout_1h,primary_positive_completed_purge_reversal,primary,positive,completed_purge_reversal,1,completed_trade_and_mark_confirmation_bar_availability,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_1h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,c8e15daabaf2e4381ab31405a5c59b8a160e0e87dc1124d7f830f2236c923569
kda02_v2_primary_positive_completed_purge_reversal_timeout_6h,primary_positive_completed_purge_reversal,primary,positive,completed_purge_reversal,6,completed_trade_and_mark_confirmation_bar_availability,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_6h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,False,False,cbf2e90180b8a414c003d97175b2d4f6f162dfc7d7afca40f6e09ce0a601df6d
kda02_v2_robustness_negative_completed_purge_reversal_timeout_1h,robustness_negative_completed_purge_reversal,robustness,negative,completed_purge_reversal,1,completed_trade_and_mark_confirmation_bar_availability,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_1h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,True,False,8378eb44f4bb7f06d0681570d5611b833a8d6f3494d48ea98ad82fb088d16471
kda02_v2_robustness_negative_completed_purge_reversal_timeout_6h,robustness_negative_completed_purge_reversal,robustness,negative,completed_purge_reversal,6,completed_trade_and_mark_confirmation_bar_availability,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_6h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,True,False,a039a9163d9d4edf972857f47ee8854be353bf371533720afd6086c140abd49d
kda02_v2_robustness_positive_completed_purge_reversal_timeout_1h,robustness_positive_completed_purge_reversal,robustness,positive,completed_purge_reversal,1,completed_trade_and_mark_confirmation_bar_availability,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_1h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,True,False,1c058eb9ee346b413ef411a335dd6981fdfbcf482696d6491e84a7c12b78f6ec
kda02_v2_robustness_positive_completed_purge_reversal_timeout_6h,robustness_positive_completed_purge_reversal,robustness,positive,completed_purge_reversal,6,completed_trade_and_mark_confirmation_bar_availability,first_authorized_PF_5m_trade_bar_open_at_or_after_decision_ts,10,first_authorized_PF_5m_trade_bar_open_at_or_after_actual_entry_plus_6h,10,fixed_notional,14,32,diagnostic_partitions_excluded_from_gates,market_day_cluster_id,market_6h_cluster_id|parent_episode_id,True,False,935e2f698525b5d822cff7d5f8a7f499b70c8c8fbe324fc8cf0d966394fd12bd
