bin,bin_low,bin_high,n,mean_score,mean_pnl_R,risk_multiplier
0,0.0,0.125,2134,0.07647786370471009,-0.738157469194004,0.01
1,0.125,0.25,2622,0.18318716480902494,-0.2531199449420377,0.01
2,0.25,0.375,1607,0.3073099692075343,0.30880656894605646,0.1465533314560645
3,0.375,0.5,912,0.4299949339831435,0.7803094152363718,0.3550504650232145
4,0.5,0.625,513,0.555729076721572,1.1684286527180336,0.5266756187924223
5,0.625,0.75,250,0.6752215446716712,1.8378788102991428,0.8227044551396719
6,0.75,0.875,87,0.8036173562534696,2.3390568877025046,1.0
7,0.875,1.0,24,0.9381895633577245,2.638454727116248,1.0
