bin,bin_low,bin_high,n,mean_score,mean_pnl_R,risk_multiplier
0,0.0,0.125,2308,0.06673279448868671,-0.7945669976489848,0.01
1,0.125,0.25,1581,0.19451324703265999,-0.32825933188832845,0.01
2,0.25,0.375,1827,0.2747397677956136,0.06665485050853669,0.034641218201596546
3,0.375,0.5,1143,0.43044082401873396,0.5847340081893754,0.22616668818187796
4,0.5,0.625,865,0.5198006764174181,1.1177271838235323,0.4232056289425518
5,0.625,0.75,127,0.696114968143583,1.6392250094933047,0.6159949250844917
6,0.75,0.875,202,0.7836888273211461,1.9976147411856982,0.7484858017793975
7,0.875,1.0,96,0.9036473727762718,2.9047474511576703,1.0
