symbol,grammar_cell,parent_family,exact_decision_timestamp_overlaps
PF_AKTUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA02,0
PF_AKTUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA03,0
PF_AKTUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA01,0
PF_AKTUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA02,0
PF_AKTUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA03,0
PF_AKTUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA01,0
PF_AKTUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA02,0
PF_AKTUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA03,0
PF_AKTUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA01,0
PF_AKTUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA02,0
PF_AKTUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA03,0
PF_ALCHUSD,trade_downside+mark_downside+structural_rejection,KDA01,22
PF_ALCHUSD,trade_downside+mark_downside+structural_rejection,KDA02,0
PF_ALCHUSD,trade_downside+mark_downside+structural_rejection,KDA03,0
PF_ALCHUSD,trade_downside+mark_downside+structural_rejection+oi,KDA01,5
PF_ALCHUSD,trade_downside+mark_downside+structural_rejection+oi,KDA02,0
PF_ALCHUSD,trade_downside+mark_downside+structural_rejection+oi,KDA03,0
PF_ALCHUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA01,0
PF_ALCHUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA02,0
PF_ALCHUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA03,0
PF_ALCHUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA01,1
PF_ALCHUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA02,0
PF_ALCHUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA03,0
PF_ALCHUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA01,5
PF_ALCHUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA02,0
PF_ALCHUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA03,0
PF_ALCHUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA01,0
PF_ALCHUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA02,0
PF_ALCHUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA03,0
PF_ALCHUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA01,0
PF_ALCHUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA02,0
PF_ALCHUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA03,0
PF_ALGOUSD,trade_downside+mark_downside+structural_rejection,KDA01,232
PF_ALGOUSD,trade_downside+mark_downside+structural_rejection,KDA02,0
PF_ALGOUSD,trade_downside+mark_downside+structural_rejection,KDA03,0
PF_ALGOUSD,trade_downside+mark_downside+structural_rejection+oi,KDA01,87
PF_ALGOUSD,trade_downside+mark_downside+structural_rejection+oi,KDA02,0
PF_ALGOUSD,trade_downside+mark_downside+structural_rejection+oi,KDA03,0
PF_ALGOUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA01,6
