symbol,year,grammar_cell,state_rows,onsets,episodes,duration_minutes_median,duration_minutes_p95
PF_ADAUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_level,2197,1558,1558,5.0,15.0
PF_ADAUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_level,5280,3774,3774,5.0,15.0
PF_ADAUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_ADAUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_ADAUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_ADAUSD,2023,trade_downside+mark_downside+structural_rejection+oi+breadth,902,663,663,5.0,15.0
PF_ADAUSD,2024,trade_downside+mark_downside+structural_rejection+oi+breadth,3369,2328,2328,5.0,15.0
PF_ADAUSD,2025,trade_downside+mark_downside+structural_rejection+oi+breadth,4366,2935,2935,5.0,15.0
PF_ADAUSD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_ADAUSD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_ADAUSD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_AGLDUSD,2023,trade_downside+mark_downside+structural_rejection,22,18,18,5.0,11.499999999999986
PF_AGLDUSD,2024,trade_downside+mark_downside+structural_rejection,4677,3383,3383,5.0,15.0
PF_AGLDUSD,2025,trade_downside+mark_downside+structural_rejection,318,279,279,5.0,10.0
PF_AGLDUSD,2023,trade_downside+mark_downside+structural_rejection+oi,10,9,9,5.0,7.999999999999998
PF_AGLDUSD,2024,trade_downside+mark_downside+structural_rejection+oi,1961,1512,1512,5.0,15.0
PF_AGLDUSD,2025,trade_downside+mark_downside+structural_rejection+oi,146,131,131,5.0,10.0
PF_AGLDUSD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation,0,0,0,,
PF_AGLDUSD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation,0,0,0,,
PF_AGLDUSD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation,0,0,0,,
PF_AGLDUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_level,1,1,1,5.0,5.0
PF_AGLDUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_level,684,560,560,5.0,10.0
PF_AGLDUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_level,4,4,4,5.0,5.0
PF_AGLDUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_AGLDUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_AGLDUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_AGLDUSD,2023,trade_downside+mark_downside+structural_rejection+oi+breadth,0,0,0,,
PF_AGLDUSD,2024,trade_downside+mark_downside+structural_rejection+oi+breadth,558,468,468,5.0,10.0
PF_AGLDUSD,2025,trade_downside+mark_downside+structural_rejection+oi+breadth,53,50,50,5.0,7.749999999999986
PF_AGLDUSD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_AGLDUSD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_AGLDUSD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_AIXBTUSD,2023,trade_downside+mark_downside+structural_rejection,0,0,0,,
PF_AIXBTUSD,2024,trade_downside+mark_downside+structural_rejection,0,0,0,,
PF_AIXBTUSD,2025,trade_downside+mark_downside+structural_rejection,5718,4221,4221,5.0,15.0
PF_AIXBTUSD,2023,trade_downside+mark_downside+structural_rejection+oi,0,0,0,,
PF_AIXBTUSD,2024,trade_downside+mark_downside+structural_rejection+oi,0,0,0,,
PF_AIXBTUSD,2025,trade_downside+mark_downside+structural_rejection+oi,2497,1926,1926,5.0,15.0
PF_AIXBTUSD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation,0,0,0,,
PF_AIXBTUSD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation,0,0,0,,
PF_AIXBTUSD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation,32,21,21,5.0,10.0
PF_AIXBTUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_level,0,0,0,,
PF_AIXBTUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_level,0,0,0,,
PF_AIXBTUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_level,451,385,385,5.0,10.0
PF_AIXBTUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_AIXBTUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_AIXBTUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_AIXBTUSD,2023,trade_downside+mark_downside+structural_rejection+oi+breadth,0,0,0,,
PF_AIXBTUSD,2024,trade_downside+mark_downside+structural_rejection+oi+breadth,0,0,0,,
PF_AIXBTUSD,2025,trade_downside+mark_downside+structural_rejection+oi+breadth,665,533,533,5.0,10.0
PF_AIXBTUSD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_AIXBTUSD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_AIXBTUSD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_AKTUSD,2023,trade_downside+mark_downside+structural_rejection,0,0,0,,
PF_AKTUSD,2024,trade_downside+mark_downside+structural_rejection,0,0,0,,
PF_AKTUSD,2025,trade_downside+mark_downside+structural_rejection,18,12,12,5.0,14.499999999999993
PF_AKTUSD,2023,trade_downside+mark_downside+structural_rejection+oi,0,0,0,,
PF_AKTUSD,2024,trade_downside+mark_downside+structural_rejection+oi,0,0,0,,
PF_AKTUSD,2025,trade_downside+mark_downside+structural_rejection+oi,7,4,4,5.0,17.749999999999993
PF_AKTUSD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation,0,0,0,,
PF_AKTUSD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation,0,0,0,,
PF_AKTUSD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation,0,0,0,,
PF_AKTUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_level,0,0,0,,
PF_AKTUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_level,0,0,0,,
PF_AKTUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_level,0,0,0,,
PF_AKTUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_AKTUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_AKTUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_change,3,3,3,5.0,5.0
PF_AKTUSD,2023,trade_downside+mark_downside+structural_rejection+oi+breadth,0,0,0,,
PF_AKTUSD,2024,trade_downside+mark_downside+structural_rejection+oi+breadth,0,0,0,,
PF_AKTUSD,2025,trade_downside+mark_downside+structural_rejection+oi+breadth,1,1,1,5.0,5.0
PF_AKTUSD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_AKTUSD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_AKTUSD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_ALCHUSD,2023,trade_downside+mark_downside+structural_rejection,0,0,0,,
PF_ALCHUSD,2024,trade_downside+mark_downside+structural_rejection,0,0,0,,
PF_ALCHUSD,2025,trade_downside+mark_downside+structural_rejection,3762,2793,2793,5.0,15.0
PF_ALCHUSD,2023,trade_downside+mark_downside+structural_rejection+oi,0,0,0,,
PF_ALCHUSD,2024,trade_downside+mark_downside+structural_rejection+oi,0,0,0,,
