symbol,year,rows,eligible_rows,price_available,OI_available,liquidation_available,basis_level_available,basis_change_available,breadth_available
PF_PYTHUSD,2023,9277,576,9265,9265,864,864,864,9277
PF_PYTHUSD,2024,105408,105408,105408,105408,73728,105408,0,105408
PF_PYTHUSD,2025,104833,81505,104833,104833,11520,104833,0,104833
PF_QNTUSD,2023,86250,84096,86238,86238,0,77760,0,86250
PF_QNTUSD,2024,105408,105408,105408,105408,1440,105408,9216,105408
PF_QNTUSD,2025,104833,40897,104833,104833,0,104833,12097,104833
PF_QTUMUSD,2023,86259,84096,86247,86247,0,77760,0,86259
PF_QTUMUSD,2024,105408,102816,105408,105408,0,105408,0,105408
PF_QTUMUSD,2025,104833,7488,104833,104833,0,104833,0,104833
PF_RAYUSD,2023,0,0,0,0,0,0,0,0
PF_RAYUSD,2024,19623,1440,19611,19608,10656,11232,11232,19623
PF_RAYUSD,2025,104833,85248,104833,104833,8064,104833,1728,104833
PF_RENDERUSD,2023,0,0,0,0,0,0,0,0
PF_RENDERUSD,2024,44447,1440,44435,44435,36000,36000,0,44447
PF_RENDERUSD,2025,104833,104833,104833,104833,104833,104833,0,104833
PF_RLCUSD,2023,75768,576,75756,75756,0,67392,0,75768
PF_RLCUSD,2024,105408,57312,105408,105408,0,105408,20736,105408
PF_RLCUSD,2025,104833,0,104833,104833,0,104833,40033,104833
PF_RSRUSD,2023,0,0,0,0,0,0,0,0
PF_RSRUSD,2024,28021,1440,28009,28009,4032,19584,0,28021
PF_RSRUSD,2025,104833,19296,104833,104833,11232,104833,15553,104833
PF_RUNEUSD,2023,86258,84096,86246,86246,19296,77760,0,86258
PF_RUNEUSD,2024,105408,105408,105408,105408,95616,105408,0,105408
PF_RUNEUSD,2025,104833,104833,104833,104833,65376,104833,0,104833
PF_SAGAUSD,2023,0,0,0,0,0,0,0,0
PF_SAGAUSD,2024,75450,67392,75438,75438,9216,66816,0,75450
PF_SAGAUSD,2025,104833,0,104833,104833,0,104833,0,104833
PF_SEIUSD,2023,0,0,0,0,0,0,0,0
PF_SEIUSD,2024,84514,68832,84502,84502,75168,76032,0,84514
PF_SEIUSD,2025,104833,104833,104833,104833,80065,104833,0,104833
PF_SHIBUSD,2023,61863,576,61851,61851,8640,53280,0,61863
PF_SHIBUSD,2024,105408,105408,105408,105408,95904,100512,0,105408
PF_SHIBUSD,2025,104833,104833,104833,104833,104833,104833,0,104833
PF_SKLUSD,2023,0,0,0,0,0,0,0,0
PF_SKLUSD,2024,0,0,0,0,0,0,0,0
PF_SKLUSD,2025,96827,6336,96815,96815,0,88417,67969,96827
PF_SNXUSD,2023,86260,84096,86248,86248,8352,77760,0,86260
PF_SNXUSD,2024,105408,105408,105408,105408,29088,105408,0,105408
PF_SNXUSD,2025,104833,57025,104833,104833,23041,104833,0,104833
PF_SOLUSD,2023,86259,84096,86247,86247,77760,77760,0,86259
PF_SOLUSD,2024,105408,105408,105408,105408,105408,105408,0,105408
PF_SOLUSD,2025,104833,104833,104833,104833,104833,88417,0,104833
PF_SPELLUSD,2023,0,0,0,0,0,0,0,0
PF_SPELLUSD,2024,88799,62784,88787,88787,20736,80352,0,88799
PF_SPELLUSD,2025,104833,8928,104833,104833,0,104833,25633,104833
PF_SPKUSD,2023,0,0,0,0,0,0,0,0
PF_SPKUSD,2024,0,0,0,0,0,0,0,0
PF_SPKUSD,2025,52989,4320,52977,52977,0,44353,0,52989
PF_SPXUSD,2023,0,0,0,0,0,0,0,0
PF_SPXUSD,2024,3246,0,3234,3234,0,0,0,3246
PF_SPXUSD,2025,104833,88129,104833,104833,95041,99649,3456,104833
PF_STGUSD,2023,45580,576,45568,44838,0,37152,0,45580
PF_STGUSD,2024,105408,69120,105408,105408,0,105408,0,105408
PF_STGUSD,2025,104833,0,104833,104833,0,104833,17280,104833
PF_STORJUSD,2023,86259,84096,86247,86247,2880,77760,0,86259
PF_STORJUSD,2024,105408,105408,105408,105408,8352,105408,0,105408
PF_STORJUSD,2025,104833,16704,104833,104833,0,104833,0,104833
PF_STRKUSD,2023,0,0,0,0,0,0,0,0
PF_STRKUSD,2024,90569,68832,90557,90557,29664,82080,0,90569
PF_STRKUSD,2025,104833,83521,104833,104833,21025,104833,14976,104833
PF_STXUSD,2023,79583,576,79571,79571,0,71136,0,79583
PF_STXUSD,2024,105408,105408,105408,105408,74016,105408,0,105408
PF_STXUSD,2025,104833,104833,104833,104833,1728,104833,0,104833
PF_SUIUSD,2023,69824,576,69812,69812,3456,61344,0,69824
PF_SUIUSD,2024,105408,105408,105408,105408,105408,105408,0,105408
PF_SUIUSD,2025,104833,104833,104833,104833,104833,104833,0,104833
PF_SUSD,2023,0,0,0,0,0,0,0,0
PF_SUSD,2024,0,0,0,0,0,0,0,0
PF_SUSD,2025,99755,61056,99743,99743,288,91297,0,99755
PF_SUSHIUSD,2023,86257,84096,86245,86245,0,73152,0,86257
PF_SUSHIUSD,2024,105408,105408,105408,105408,15264,105408,0,105408
PF_SUSHIUSD,2025,104833,104833,104833,104833,0,104833,0,104833
PF_TAOUSD,2023,0,0,0,0,0,0,0,0
PF_TAOUSD,2024,53672,1440,53660,53660,45216,45216,0,53672
PF_TAOUSD,2025,104833,104833,104833,104833,104833,104833,0,104833
PF_THETAUSD,2023,86232,84096,86220,86220,0,77760,0,86232
PF_THETAUSD,2024,105408,105408,105408,105408,29952,105408,0,105408
PF_THETAUSD,2025,104833,104833,104833,104833,1152,104833,0,104833
PF_TIAUSD,2023,9277,576,9265,9209,864,864,0,9277
PF_TIAUSD,2024,105408,105408,105408,105408,105408,105408,0,105408
PF_TIAUSD,2025,104833,104833,104833,104833,104833,104833,0,104833
PF_TRBUSD,2023,0,0,0,0,0,0,0,0
PF_TRBUSD,2024,55724,0,55712,55254,1152,47232,0,55724
PF_TRBUSD,2025,104833,14400,104833,104833,0,104833,0,104833
PF_TRUMPUSD,2023,0,0,0,0,0,0,0,0
PF_TRUMPUSD,2024,0,0,0,0,0,0,0,0
PF_TRUMPUSD,2025,99762,88129,99750,99750,91297,91297,0,99762
PF_TRUUSD,2023,0,0,0,0,0,0,0,0
PF_TRUUSD,2024,74208,66816,74196,74196,0,65664,1728,74208
PF_TRUUSD,2025,104833,0,104833,104833,0,104833,82081,104833
PF_TRXUSD,2023,86237,84096,86225,86225,0,77760,0,86237
PF_TRXUSD,2024,105408,105408,105408,105408,35712,105408,0,105408
PF_TRXUSD,2025,104833,104833,104833,104833,62208,104833,0,104833
PF_TURBOUSD,2023,0,0,0,0,0,0,0,0
PF_TURBOUSD,2024,60314,1440,60302,60302,51840,51840,0,60314
PF_TURBOUSD,2025,104833,102817,104833,104833,46944,104833,0,104833
PF_UMAUSD,2023,0,0,0,0,0,0,0,0
PF_UMAUSD,2024,98079,65952,98067,98067,0,89568,0,98079
PF_UMAUSD,2025,104833,0,104833,104833,0,104833,23329,104833
PF_UNIUSD,2023,86258,84096,86246,86246,44352,77760,0,86258
PF_UNIUSD,2024,105408,105408,105408,105408,105408,105408,0,105408
PF_UNIUSD,2025,104833,104833,104833,104833,104833,104833,0,104833
PF_USUALUSD,2023,0,0,0,0,0,0,0,0
PF_USUALUSD,2024,0,0,0,0,0,0,0,0
PF_USUALUSD,2025,100638,4032,100626,100616,0,92161,32833,100638
PF_VETUSD,2023,0,0,0,0,0,0,0,0
PF_VETUSD,2024,15607,0,15595,15595,7200,7200,0,15607
PF_VETUSD,2025,104833,62496,104833,104833,14688,104833,0,104833
PF_VINEUSD,2023,0,0,0,0,0,0,0,0
PF_VINEUSD,2024,0,0,0,0,0,0,0,0
PF_VINEUSD,2025,97966,23904,97954,97954,21888,89569,21601,97966
PF_VIRTUALUSD,2023,0,0,0,0,0,0,0,0
PF_VIRTUALUSD,2024,0,0,0,0,0,0,0,0
PF_VIRTUALUSD,2025,99117,75745,99105,99085,72289,90721,0,99117
PF_WIFUSD,2023,0,0,0,0,0,0,0,0
PF_WIFUSD,2024,99191,68832,99179,99179,90720,90720,7488,99191
PF_WIFUSD,2025,104833,104833,104833,104833,104833,104833,0,104833
PF_WLDUSD,2023,43603,576,43591,43591,6912,35136,0,43603
PF_WLDUSD,2024,105408,105408,105408,105408,87840,105408,0,105408
PF_WLDUSD,2025,104833,104833,104833,104833,102816,104833,0,104833
PF_WOOUSD,2023,77878,576,77866,77752,0,69408,0,77878
PF_WOOUSD,2024,105408,103968,105408,105408,6912,105408,0,105408
PF_WOOUSD,2025,104833,0,104833,104833,0,104833,14977,104833
PF_WUSD,2023,0,0,0,0,0,0,0,0
PF_WUSD,2024,77012,68832,77000,77000,29376,68544,0,77012
PF_WUSD,2025,104833,84673,104833,104833,0,104833,0,104833
PF_XBTUSD,2023,86260,86260,86248,86248,77760,72576,0,86260
PF_XBTUSD,2024,105408,105408,105408,105408,105408,105408,0,105408
PF_XBTUSD,2025,104833,104833,104833,104833,104833,97921,0,104833
PF_XLMUSD,2023,86233,84096,86221,86221,35712,77760,0,86233
PF_XLMUSD,2024,105408,105408,105408,105408,36576,105408,0,105408
PF_XLMUSD,2025,104833,104833,104833,104833,104833,104833,0,104833
PF_XMRUSD,2023,86255,84096,86243,86243,19296,77760,0,86255
PF_XMRUSD,2024,105408,105408,105408,105408,105408,105408,0,105408
PF_XMRUSD,2025,104833,104833,104833,104833,104833,104833,2592,104833
PF_XRPUSD,2023,86260,84096,86248,86248,77760,77760,0,86260
PF_XRPUSD,2024,105408,105408,105408,105408,105408,105408,0,105408
PF_XRPUSD,2025,104833,104833,104833,104833,104833,86112,0,104833
PF_XTZUSD,2023,86254,84096,86242,86242,0,77760,0,86254
PF_XTZUSD,2024,105408,105408,105408,105408,1152,105408,0,105408
PF_XTZUSD,2025,104833,82945,104833,104833,3744,104833,0,104833
PF_YFIUSD,2023,86260,84096,86248,86248,0,77760,0,86260
PF_YFIUSD,2024,105408,105408,105408,105408,0,105408,0,105408
PF_YFIUSD,2025,104833,41473,104833,104833,0,104833,10081,104833
PF_YGGUSD,2023,0,0,0,0,0,0,0,0
PF_YGGUSD,2024,76400,67392,76388,76388,0,67968,0,76400
PF_YGGUSD,2025,104833,0,104833,104833,0,104833,41185,104833
PF_ZECUSD,2023,86256,84096,86244,86244,0,77760,0,86256
PF_ZECUSD,2024,105408,105408,105408,105408,12096,105408,0,105408
PF_ZECUSD,2025,104833,104833,104833,104833,41185,104833,27936,104833
PF_ZENUSD,2023,0,0,0,0,0,0,0,0
PF_ZENUSD,2024,7595,0,7583,7583,0,0,0,7595
PF_ZENUSD,2025,104833,21889,104833,104833,12385,103969,4032,104833
PF_ZEREBROUSD,2023,0,0,0,0,0,0,0,0
PF_ZEREBROUSD,2024,0,0,0,0,0,0,0,0
PF_ZEREBROUSD,2025,98532,4032,98520,98520,7200,90145,31680,98532
PF_ZETAUSD,2023,0,0,0,0,0,0,0,0
PF_ZETAUSD,2024,66301,0,66289,66289,0,57888,0,66301
PF_ZETAUSD,2025,104833,2592,104833,104833,0,104833,11520,104833
PF_ZKUSD,2023,0,0,0,0,0,0,0,0
PF_ZKUSD,2024,43795,0,43783,43783,0,35424,0,43795
PF_ZKUSD,2025,104833,74881,104833,104833,0,104833,0,104833
PF_ZROUSD,2023,0,0,0,0,0,0,0,0
PF_ZROUSD,2024,55724,0,55712,55694,8928,47232,0,55724
PF_ZROUSD,2025,104833,38593,104833,104833,0,104833,2593,104833
PF_ZRXUSD,2023,75823,576,75811,75811,0,67392,0,75823
PF_ZRXUSD,2024,105408,105408,105408,105408,14688,105408,0,105408
PF_ZRXUSD,2025,104833,2880,104833,104833,0,104833,0,104833
