symbol,first_raw_OI_timestamp,first_complete_causal_lookback,first_admissible_onset_timestamp,invalid_boundary_start,invalid_boundary_end,truncation_status,gap_count,OI_missing_bars_inside_retention,last_raw_OI_timestamp
PF_DOTUSD,2023-03-07 11:45:00+00:00,2023-04-06 00:00:00+00:00,2023-04-06 01:05:00+00:00,2023-03-07 11:45:00+00:00,2023-04-06 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_DYDXUSD,2023-03-07 11:40:00+00:00,2025-06-22 00:00:00+00:00,2025-06-22 00:55:00+00:00,2023-03-07 11:40:00+00:00,2025-06-22 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_DYMUSD,2024-02-08 15:35:00+00:00,2024-05-07 00:00:00+00:00,2024-05-07 00:30:00+00:00,2024-02-08 15:35:00+00:00,2024-05-07 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_EGLDUSD,2023-03-07 11:45:00+00:00,,,2023-03-07 11:45:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_EIGENUSD,2024-10-09 14:55:00+00:00,,,2024-10-09 14:55:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_ENAUSD,2024-04-24 16:10:00+00:00,2024-12-27 00:00:00+00:00,2024-12-27 00:10:00+00:00,2024-04-24 16:10:00+00:00,2024-12-27 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_ENSUSD,2023-03-07 11:55:00+00:00,2024-02-10 00:00:00+00:00,2024-02-10 01:05:00+00:00,2023-03-07 11:55:00+00:00,2024-02-10 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_ETCUSD,2023-03-07 11:55:00+00:00,2024-11-21 00:00:00+00:00,2024-11-21 00:35:00+00:00,2023-03-07 11:55:00+00:00,2024-11-21 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_ETHFIUSD,2024-05-10 14:15:00+00:00,,,2024-05-10 14:15:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_ETHUSD,2023-03-07 11:40:00+00:00,2023-04-06 00:00:00+00:00,2023-04-06 01:10:00+00:00,2023-03-07 11:40:00+00:00,2023-04-06 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_ETHWUSD,2023-03-07 14:00:00+00:00,,,2023-03-07 14:00:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_FARTCOINUSD,2025-01-20 20:20:00+00:00,2025-02-28 00:00:00+00:00,2025-02-28 01:10:00+00:00,2025-01-20 20:20:00+00:00,2025-02-28 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_FETUSD,2023-03-23 14:40:00+00:00,2024-01-11 00:00:00+00:00,2024-01-11 00:25:00+00:00,2023-03-23 14:40:00+00:00,2024-01-11 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
