score_bin,n,mean_score,mean_pnl_R,sum_pnl_R,tp_rate,sl_rate,time_rate,mean_hours,mean_mfe_over_atr,mean_mae_over_atr
"(-0.000999999999, 0.0513]",2510,0.03111223719990058,-0.9362907022742263,-2350.089662708308,0.012350597609561753,0.949402390438247,0.03824701195219123,13.915803452855245,1.1764843309935435,2.2130550394672883
"(0.0513, 0.0849]",1184,0.08406346573166698,-0.7119908270496448,-842.9971392267794,0.041385135135135136,0.8758445945945946,0.08277027027027027,21.746973536036037,1.7956231643808518,2.176343700661105
"(0.0849, 0.135]",1240,0.13513513513513514,-0.45853058354378534,-568.5779235942938,0.06693548387096775,0.7887096774193548,0.1443548387096774,27.068346774193547,2.3120817746508298,2.110086799117538
"(0.135, 0.235]",1526,0.23453597450992786,-0.22126760373883372,-337.65436330546027,0.0891218872870249,0.7195281782437746,0.1913499344692005,30.611675404106595,2.776446657713117,2.018708434826641
"(0.235, 0.262]",664,0.2604101785567188,-0.03961709600080387,-26.30575174453377,0.12349397590361445,0.6671686746987951,0.20933734939759036,33.256651606425706,3.0997651052462114,1.9641070181300855
"(0.262, 0.347]",1537,0.34476286815067503,0.17805433546540606,273.6695136103291,0.14899154196486664,0.6063760572543917,0.2446324007807417,35.94719149859033,3.5993322035517368,1.875828532592105
"(0.347, 0.425]",497,0.40657971781645136,0.55029932125872,273.49876266558385,0.20925553319919518,0.5492957746478874,0.2414486921529175,36.367370892018776,4.07668034277698,1.8001064884911413
"(0.425, 0.54]",1277,0.4984977636668456,0.8518275947704104,1087.783838521814,0.2717306186374315,0.4620203602192639,0.2662490211433046,38.79600626468285,4.690444820447776,1.614056497809491
"(0.54, 1.0]",836,0.66106257137789,1.6199344046972173,1354.2651623268737,0.41746411483253587,0.32177033492822965,0.2607655502392344,36.88775917065391,5.8200780739949405,1.2893618282332473
