group,n,hours_in_trade_q5,hours_in_trade_q25,hours_in_trade_q50,hours_in_trade_q75,hours_in_trade_q95,hours_in_trade_mean
SL,8003,1.0833333333333333,5.0,12.0,25.416666666666668,55.1583333333333,17.537538006580863
TIME,1858,72.0,72.0,72.0,72.0,72.0,71.96649623250808
TP,1410,5.370833333333334,14.833333333333334,27.083333333333332,43.729166666666664,64.71249999999999,30.26743498817967
