metric,value,n
mae_frac_sl_mean,0.45978158016210285,1410
mae_frac_sl_q25,0.2331266353051849,1410
mae_frac_sl_q50,0.43487996171509335,1410
mae_frac_sl_q75,0.6682088187911466,1410
mae_frac_sl_q90,0.86699717765731,1410
mae_frac_sl_q95,0.9175926283219801,1410
mae_frac_sl_ge_0.5,0.43120567375886526,1410
mae_frac_sl_ge_0.75,0.18156028368794327,1410
mae_frac_sl_ge_0.9,0.06524822695035461,1410
mae_frac_sl_ge_1.0,0.0,1410
