metric,value,n
mfe_frac_tp_mean,0.18329092415816983,8003
mfe_frac_tp_q25,0.03743391731250063,8003
mfe_frac_tp_q50,0.12367877200339447,8003
mfe_frac_tp_q75,0.2651279017776965,8003
mfe_frac_tp_q90,0.4548414955669027,8003
mfe_frac_tp_q95,0.5794172178163804,8003
mfe_frac_tp_ge_0.25,0.27052355366737474,8003
mfe_frac_tp_ge_0.5,0.0802199175309259,8003
mfe_frac_tp_ge_0.75,0.01874297138573035,8003
mfe_frac_tp_ge_0.9,0.005372985130576034,8003
