fold,train_n,test_n,t_test_start,t_test_end
0,9326,1879,2023-01-22 00:00:00+00:00,2023-11-09 00:00:00+00:00
1,9282,1879,2023-11-09 00:00:00+00:00,2024-03-02 18:15:00+00:00
2,9312,1879,2024-03-03 00:00:00+00:00,2024-09-22 00:00:00+00:00
3,9327,1878,2024-09-22 00:00:00+00:00,2024-12-04 00:05:00+00:00
4,9374,1878,2024-12-04 00:05:00+00:00,2025-07-08 17:00:00+00:00
5,9393,1878,2025-07-09 00:00:00+00:00,2025-11-13 23:25:00+00:00
