symbol,instrument_type,contract_size,base_unit,quote_unit,anchor_timestamp_utc,implied_price_absolute_over_relative,trade_open,mark_open,trade_relative_error,mark_relative_error,trade_error_limit,mark_error_limit,unit_status
PF_BANDUSD,flexible_futures,1,BAND,USD,2023-01-01T00:00:00Z,1.406500000000017311480392789,1.3978,1.4058468874,0.006224066390053878580907704,0.000464568798971551132228078,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_BATUSD,flexible_futures,1,BAT,USD,2023-01-01T00:00:00Z,0.1661000000000017516477354566,0.16583,0.16601951442,0.001628173430632283951851032,0.000484795900547795661571340,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_BBUSD,flexible_futures,1,BB,USD,2024-06-21T13:00:00Z,0.4082309999999931752203538807,0.407,0.40575040042,0.003024570024553256069665555,0.006113609690650851238299514,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_BCHUSD,flexible_futures,1,BCH,USD,2023-01-01T00:00:00Z,97.04000000000003348082593013,96.63,96.97315556269,0.004242988719859603444333335,0.000689308674366286039128712,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_BEAMUSD,flexible_futures,1,BEAM,USD,2024-04-18T15:00:00Z,0.02694830000000091219948177902,0.0269,0.02690359854,0.001795539033491159832036395,0.001661542039978425855658007,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_BERAUSD,flexible_futures,1,BERA,USD,2025-02-12T19:00:00Z,5.846700000000007967540675352,5.838,5.84504812901,0.001490236382324078030262993,0.000282610331608638399521255,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_BIGTIMEUSD,flexible_futures,1,BIGTIME,USD,2024-06-25T17:00:00Z,0.1247299999999954847996786844,0.1253,0.12488899577,0.0045490822027495227479753839,0.0012730967129988573557837937,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_BIOUSD,flexible_futures,1,BIO,USD,2025-01-28T19:00:00Z,0.2230810000000019131912275395,0.2245,0.22333177424,0.0063207126948689835580065056,0.0011228775701597937064437146,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_BLURUSD,flexible_futures,1,BLUR,USD,2023-02-16T17:00:00Z,1.022900000000092074360785072,1.0239,1.02258945202,0.0009766578766558508049760016,0.000303687838241070184655347,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_BNBUSD,flexible_futures,1,BNB,USD,2023-11-22T14:00:00Z,233.4499999999999893799246317,234.75,233.96867797769,0.0055378061767838578064978415,0.0022168692928181992548512939,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_BOMEUSD,flexible_futures,1,BOME,USD,2024-04-24T18:00:00Z,0.01100150000000067845424515411,0.011006,0.01098144607,0.0004088678901800423182669353,0.001826164775827055921165591,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_BONKUSD,flexible_futures,1,BONK,USD,2023-12-21T18:00:00Z,0.00001907999999999983039510030290,0.00001933,0.00001908059,0.0129332643559322092550283032,0.0000309214757074914821657559,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_BRETTUSD,flexible_futures,1,BRETT,USD,2024-06-18T18:00:00Z,0.122697,0.12305,0.12278899765,0.0028687525396180414465664364,0.0007492336590468128151545343,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_CAKEUSD,flexible_futures,1,CAKE,USD,2024-11-20T11:00:00Z,1.904729999999998102985811602,1.9238,1.9237773,0.0099126728350150207995573334,0.0099009900990108870783475811,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_CATUSD,flexible_futures,1,CAT,USD,2024-10-31T18:00:00Z,0.00002739670000521593998738417702,0.00002769,0.0000274558,0.0105922713898179852876786919,0.0021525504550608619168198698,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_CFXUSD,flexible_futures,1,CFX,USD,2023-08-11T05:00:00Z,0.1756620000000009952213587732,0.17583,0.17553421886,0.0009554683501052424423660740,0.000727955727554802424115639,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_CHILLGUYUSD,flexible_futures,1,CHILLGUY,USD,2025-01-15T17:00:00Z,0.1252690000000049061136247246,0.12734,0.12584465954,0.0162635464111441329226894566,0.0045743660644742675297739170,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_CHZUSD,flexible_futures,1,CHZ,USD,2023-01-01T00:00:00Z,0.1001000000000301957121869118,0.1003,0.10009870536,0.0019940179458604614936499322,0.000012933634111845941529886,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_COMPUSD,flexible_futures,1,COMP,USD,2023-01-01T00:00:00Z,31.16600000000017500067040227,31.577,31.1735726145,0.0130158026411573296807675755,0.0002429177622170482884419391,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_COOKIEUSD,flexible_futures,1,COOKIE,USD,2025-02-04T21:00:00Z,0.1917769999999669025609339213,0.19,0.19228541108,0.009352631578773171373336428,0.0026440439614088763195527538,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_COTIUSD,flexible_futures,1,COTI,USD,2024-04-30T18:00:00Z,0.1038559999999964072517545196,0.10381,0.10372914049,0.000443117233372577321592521,0.001222988153542418808434490,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_COWUSD,flexible_futures,1,COW,USD,2024-11-26T18:00:00Z,0.3984350000000259598255467489,0.4004,0.39885616716,0.0049075924075275728632698579,0.0010559374397364907337521814,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_CROUSD,flexible_futures,1,CRO,USD,2024-12-20T19:00:00Z,0.1573467,0.15812,0.155772045,0.0048905894257525929673665570,0.010108713665536072277923808,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_CRVUSD,flexible_futures,1,CRV,USD,2023-01-01T00:00:00Z,0.5246000000000103370850128795,0.5279,0.52445562203,0.0062511839363320002178198911,0.000275291109382136343523486,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_CTSIUSD,flexible_futures,1,CTSI,USD,2024-05-29T14:00:00Z,0.2390260000000254282494979550,0.23952,0.23923619323,0.0020624582497268359656899006,0.0008786012983097981829646964,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_CVXUSD,flexible_futures,1,CVX,USD,2023-03-30T16:00:00Z,5.320300000000025873848260595,5.3322,5.32482141519,0.0022317242413964453980982343,0.0008491205314559442836756199,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_DASHUSD,flexible_futures,1,DASH,USD,2023-01-01T00:00:00Z,42.02399999999999970031214363,42.163,41.98843751449,0.0032967293598652918361562595,0.000846959010983137065840994,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_DEEPUSD,flexible_futures,1,DEEP,USD,2024-11-15T09:00:00Z,0.06225639999999677193768251822,0.059798,0.06232842627,0.041111742867600453822577983,0.0011555926294563904495880637,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_DEGENUSD,flexible_futures,1,DEGEN,USD,2024-11-14T20:00:00Z,0.02578851999999950508916768287,0.0263,0.02580643826,0.0194479087452659661913428567,0.0006943329342843963168560530,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_DOGEUSD,flexible_futures,1,DOGE,USD,2023-01-01T00:00:00Z,0.0702,0.07017,0.07022710914,0.000427533133817870884993587,0.0003860210157014587885398468,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_DOGUSD,flexible_futures,1,DOG,USD,2024-11-14T19:00:00Z,0.003517869999998607159375394189,0.0035409,0.0035219428,0.0065039961595619307590177105,0.0011564071970143412393312609,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_DOTUSD,flexible_futures,1,DOT,USD,2023-01-01T00:00:00Z,4.301699999999916853966674843,4.304,4.30325467537,0.0005343866171196900635049157,0.0003612789591518825964998134,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_DYDXUSD,flexible_futures,1,DYDX,USD,2023-01-01T00:00:00Z,1.103099999999968624751703280,1.1,1.10256313873,0.002818181818153295228821164,0.000486921112370049450785415,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_DYMUSD,flexible_futures,1,DYM,USD,2024-02-08T16:00:00Z,7.289929999999991155014729030,7.211,7.27878384913,0.010945777284702697963490366,0.001531320492684145833423016,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_EGLDUSD,flexible_futures,1,EGLD,USD,2023-01-01T00:00:00Z,32.77200000000001244442139922,32.77,32.77240490237,0.000061031431187441087012488,0.0000123549788669391875689335,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_EIGENUSD,flexible_futures,1,EIGEN,USD,2024-10-09T15:00:00Z,3.750740000000006143978189401,3.79,3.76193564736,0.0103588390501303050189473876,0.0029760337255770403880603289,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_ENAUSD,flexible_futures,1,ENA,USD,2024-04-24T17:00:00Z,0.8950600000000008895960040236,0.8959,0.89402021991,0.0009376046433743837526464744,0.001163038672778075507681527,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_ENSUSD,flexible_futures,1,ENS,USD,2023-01-01T00:00:00Z,10.74599999999999227494663931,10.774,10.73780862044,0.0025988490811219347552775840,0.000762853935057060014468222,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_ETCUSD,flexible_futures,1,ETC,USD,2023-01-01T00:00:00Z,15.69200000000001618737755821,15.636,15.67657432486,0.003581478639039152428853812,0.000983995279858691112143751,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
