symbol,rankable_observations,base_gap_allowance_bps_per_hour,stress_gap_allowance_bps_per_hour,allowance_source
PF_1INCHUSD,26297,0.61894228333333200000,1.03703625888888480000,symbol_type7_rankable_only
PF_AAVEUSD,26297,0.55164837777778200000,0.87633724500000320000,symbol_type7_rankable_only
PF_ADAUSD,26297,0.62088379999999800000,1.02405038611110880000,symbol_type7_rankable_only
PF_AGLDUSD,20667,1.23527913888889100000,4.02466821277777740000,symbol_type7_rankable_only
PF_AIXBTUSD,8258,0.72349403333333300000,1.17496166819444350000,symbol_type7_rankable_only
PF_AKTUSD,9771,19.32765227038530500000,25.00000000000000000000,symbol_type7_rankable_only
PF_ALCHUSD,8094,9.46656628125000100000,25.00000000000000000000,symbol_type7_rankable_only
PF_ALGOUSD,26297,0.60596425000000200000,0.96356808499999680000,symbol_type7_rankable_only
PF_ALICEUSD,26297,1.17906519999999600000,2.89043229277777680000,symbol_type7_rankable_only
PF_ANKRUSD,26297,0.94738796666667000000,1.52712576944444320000,symbol_type7_rankable_only
PF_APEUSD,26297,0.69715793055555400000,1.00190803722222240000,symbol_type7_rankable_only
PF_API3USD,16803,1.75595709444444800000,7.95162901055555120000,symbol_type7_rankable_only
PF_APTUSD,26297,0.85816224722222600000,1.44029131611110800000,symbol_type7_rankable_only
PF_ARBUSD,24338,0.67455027361111250000,1.18887807597222000000,symbol_type7_rankable_only
PF_ARCUSD,8094,2.26834610416666300000,8.85370018166666500000,symbol_type7_rankable_only
PF_ARKMUSD,14283,0.80931385555555600000,1.55268817555555920000,symbol_type7_rankable_only
PF_ARUSD,14429,0.75869778611111000000,1.18178409388889000000,symbol_type7_rankable_only
PF_ATHUSD,9887,8.16844958333333000000,25.00000000000000000000,symbol_type7_rankable_only
PF_ATOMUSD,26297,0.59317591944444200000,0.90269131222222560000,symbol_type7_rankable_only
PF_AUCTIONUSD,12074,2.54021973472222450000,25.00000000000000000000,symbol_type7_rankable_only
PF_AVAXUSD,26297,0.69002782777778000000,1.03980525444444880000,symbol_type7_rankable_only
PF_AXSUSD,26297,0.81079043333333200000,1.20541926833333240000,symbol_type7_rankable_only
PF_BANANAUSD,11092,3.40855561458333150000,25.00000000000000000000,symbol_type7_rankable_only
PF_BANDUSD,26297,0.97589837777778000000,1.79515370166666440000,symbol_type7_rankable_only
PF_BATUSD,26297,0.67289563512544800000,1.10405170277777680000,symbol_type7_rankable_only
PF_BBUSD,13420,1.10977098888889300000,10.84482462569444720000,symbol_type7_rankable_only
PF_BCHUSD,26297,0.49554746111111400000,0.87383069999999560000,symbol_type7_rankable_only
PF_BEAMUSD,14955,5.16284713333333700000,25.00000000000000000000,symbol_type7_rankable_only
PF_BERAUSD,7730,1.12567957361111250000,1.55228877763888950000,symbol_type7_rankable_only
PF_BIGTIMEUSD,13301,4.01718807795699000000,25.00000000000000000000,symbol_type7_rankable_only
PF_BIOUSD,8094,7.57090240184178950000,25.00000000000000000000,symbol_type7_rankable_only
PF_BLURUSD,25195,1.94407914583333600000,25.00000000000000000000,symbol_type7_rankable_only
PF_BNBUSD,18483,0.69486093750000000000,1.01492032194444160000,symbol_type7_rankable_only
PF_BOMEUSD,14788,0.71113849930556000000,1.14563934902777860000,symbol_type7_rankable_only
PF_BONKUSD,17788,1.38698807222222250000,11.78132492597221990000,symbol_type7_rankable_only
PF_BRETTUSD,13467,1.40271056249999900000,21.42447133416666480000,symbol_type7_rankable_only
PF_CAKEUSD,9771,1.27035184027778000000,13.59597048951613300000,symbol_type7_rankable_only
PF_CATUSD,10224,1.38630638888889250000,7.87311410402777470000,symbol_type7_rankable_only
PF_CFXUSD,21003,0.97906399027777400000,1.58159828361110900000,symbol_type7_rankable_only
PF_CHILLGUYUSD,8404,1.02792117916666700000,25.00000000000000000000,symbol_type7_rankable_only
PF_CHZUSD,26297,0.72195206944444200000,1.30685841777777560000,symbol_type7_rankable_only
PF_COMPUSD,26297,0.67066306111111000000,1.49482310944444560000,symbol_type7_rankable_only
PF_COOKIEUSD,7919,2.09688283360215400000,8.05124056472221980000,symbol_type7_rankable_only
PF_COTIUSD,14643,1.40439040833333600000,3.87627798333333620000,symbol_type7_rankable_only
PF_COWUSD,9604,22.56077176677867750000,25.00000000000000000000,symbol_type7_rankable_only
PF_CROUSD,9024,1.23240591229838550000,10.39151583319444590000,symbol_type7_rankable_only
PF_CRVUSD,26297,0.60067949722222400000,0.98720745777777680000,symbol_type7_rankable_only
PF_CTSIUSD,13947,1.38862431666666900000,5.75554309833333300000,symbol_type7_rankable_only
PF_CVXUSD,24169,4.57347981388888800000,25.00000000000000000000,symbol_type7_rankable_only
PF_DASHUSD,26297,0.71720060277778000000,1.66069717444444000000,symbol_type7_rankable_only
PF_DEEPUSD,9886,25.00000000000000000000,25.00000000000000000000,symbol_type7_rankable_only
PF_DEGENUSD,9887,1.96440324305555600000,25.00000000000000000000,symbol_type7_rankable_only
PF_DOGEUSD,26297,0.56605121388888800000,1.07487906333333440000,symbol_type7_rankable_only
PF_DOGUSD,9887,25.00000000000000000000,25.00000000000000000000,symbol_type7_rankable_only
PF_DOTUSD,26297,0.58654060833333000000,1.06905982833333760000,symbol_type7_rankable_only
PF_DYDXUSD,26297,0.84604396111111400000,1.35592790277777680000,symbol_type7_rankable_only
PF_DYMUSD,16611,1.37220626388888500000,2.88961396527777800000,symbol_type7_rankable_only
PF_EGLDUSD,26297,0.68635950833333600000,1.29017501111110880000,symbol_type7_rankable_only
PF_EIGENUSD,10756,0.75543313888889250000,1.06324267847222250000,symbol_type7_rankable_only
PF_ENAUSD,14787,0.79690367500000200000,1.20296621416666620000,symbol_type7_rankable_only
PF_ENSUSD,26297,0.58054644722222600000,0.88866324833333000000,symbol_type7_rankable_only
PF_ETCUSD,26297,0.47321029722222000000,0.78608967166666880000,symbol_type7_rankable_only
PF_ETHFIUSD,14425,0.80985687500000000000,1.39732347722222200000,symbol_type7_rankable_only
PF_ETHUSD,26297,0.42400774722222000000,0.67008576055555120000,symbol_type7_rankable_only
PF_ETHWUSD,26297,2.69180734166667000000,25.00000000000000000000,symbol_type7_rankable_only
PF_FARTCOINUSD,8279,0.82630973418458400000,1.42632879388888640000,symbol_type7_rankable_only
PF_FETUSD,20160,1.21725509999999800000,2.66400498083333490000,symbol_type7_rankable_only
PF_FILUSD,26297,0.68138941944444200000,1.24500078500000200000,symbol_type7_rankable_only
PF_FLOKIUSD,14283,0.75429323750000300000,1.39747449000000000000,symbol_type7_rankable_only
PF_FLOWUSD,26297,1.07870988333333000000,1.96008782999999560000,symbol_type7_rankable_only
PF_FLRUSD,26068,15.70031442267024900000,25.00000000000000000000,symbol_type7_rankable_only
PF_GALAUSD,26297,0.61555293888889200000,1.17737412888889320000,symbol_type7_rankable_only
PF_GIGAUSD,9192,25.00000000000000000000,25.00000000000000000000,symbol_type7_rankable_only
PF_GMTUSD,26297,0.71775905833333600000,1.24891168722222120000,symbol_type7_rankable_only
PF_GMXUSD,24690,1.01283978541666850000,1.85284814055555580000,symbol_type7_rankable_only
PF_GOATUSD,10388,1.30429673333333550000,2.10495336986111290000,symbol_type7_rankable_only
PF_GRASSUSD,9886,1.06008776041666750000,1.79574233194444400000,symbol_type7_rankable_only
PF_GRIFFAINUSD,8233,2.88682516666666400000,25.00000000000000000000,symbol_type7_rankable_only
PF_GRTUSD,26297,0.78912186388888600000,1.37980454888889200000,symbol_type7_rankable_only
PF_HBARUSD,13301,0.95105550000000000000,2.38040361111111000000,symbol_type7_rankable_only
PF_HFTUSD,21339,1.04571620833333700000,2.79952249472222360000,symbol_type7_rankable_only
PF_HYPEUSD,8185,1.04770201666666400000,2.36642515611111320000,symbol_type7_rankable_only
PF_ICPUSD,26297,0.81174620277777400000,1.49585047388888680000,symbol_type7_rankable_only
PF_ICXUSD,26297,0.95995228888888800000,1.91760918111110880000,symbol_type7_rankable_only
PF_IMXUSD,26297,0.79687743611111200000,1.31215413888888480000,symbol_type7_rankable_only
PF_INJUSD,24022,1.25719772638888700000,2.16407630638889240000,symbol_type7_rankable_only
PF_IOTAUSD,9389,6.15412150833333600000,25.00000000000000000000,symbol_type7_rankable_only
PF_IOUSD,8094,12.15546133263888700000,25.00000000000000000000,symbol_type7_rankable_only
PF_IPUSD,7184,1.90613506041667000000,20.38429414359767160000,symbol_type7_rankable_only
PF_JASMYUSD,24012,1.03217414236111250000,1.72534727919803230000,symbol_type7_rankable_only
