symbol,in_export,in_reconciled_479,in_k0_included_460,in_campaign_187,comparison_status
PF_ZENUSD,True,True,True,True,campaign_exact_mapped
PF_ZEREBROUSD,True,True,True,True,campaign_exact_mapped
PF_ZETAUSD,True,True,True,True,campaign_exact_mapped
PF_ZEUSUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ZIGUSD,True,True,False,False,reconciled_and_export_noncampaign
PF_ZILUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ZKUSD,True,True,True,True,campaign_exact_mapped
PF_ZORAUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ZROUSD,True,True,True,True,campaign_exact_mapped
PF_ZRXUSD,True,True,True,True,campaign_exact_mapped
PI_ADAUSD,True,False,False,False,export_only_not_reconciled
PI_BCHUSD,True,True,False,False,reconciled_and_export_noncampaign
PI_DOGEUSD,True,False,False,False,export_only_not_reconciled
PI_ETHUSD,True,False,False,False,export_only_not_reconciled
PI_LINKUSD,True,False,False,False,export_only_not_reconciled
PI_LTCUSD,True,False,False,False,export_only_not_reconciled
PI_SOLUSD,True,False,False,False,export_only_not_reconciled
PI_XBTUSD,True,False,False,False,export_only_not_reconciled
PI_XRPUSD,True,False,False,False,export_only_not_reconciled
PV_XRPXBT,True,False,False,False,export_only_not_reconciled
