symbol,in_export,in_reconciled_479,in_k0_included_460,in_campaign_187,comparison_status
PF_OXTUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_PAXGUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_PEIPEIUSD,True,False,False,False,export_only_not_reconciled
PF_PENDLEUSD,True,True,True,True,campaign_exact_mapped
PF_PENGUUSD,True,True,True,True,campaign_exact_mapped
PF_PEOPLEUSD,True,True,True,True,campaign_exact_mapped
PF_PEPEUSD,True,True,True,True,campaign_exact_mapped
PF_PERPUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_PHAUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_PHBUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_PIPPINUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_PIUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_PIXELUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_PNUTUSD,True,True,True,True,campaign_exact_mapped
PF_POLUSD,True,True,True,True,campaign_exact_mapped
PF_POLYXUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_PONKEUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_POPCATUSD,True,True,True,True,campaign_exact_mapped
PF_PORTALUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_POWRUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_PRCLUSD,True,True,True,False,reconciled_and_export_noncampaign
