symbol,partition,row_count,numeric_rate_parsing
PF_ALPHAUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_ALPHAUSD,rankable_2023_2025,19865,Decimal
PF_ALPHAUSD,unknown_or_invalid,0,none
PF_ALTUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_ALTUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_ALTUSD,rankable_2023_2025,13947,Decimal
PF_ALTUSD,unknown_or_invalid,0,none
PF_ANIMEUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_ANIMEUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_ANIMEUSD,rankable_2023_2025,8185,Decimal
PF_ANIMEUSD,unknown_or_invalid,0,none
PF_ANKRUSD,pre_rankable_before_2023_excluded,2333,Decimal_schema_only_not_calibration
PF_ANKRUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_ANKRUSD,rankable_2023_2025,26297,Decimal
PF_ANKRUSD,unknown_or_invalid,0,none
PF_ANTUSD,pre_rankable_before_2023_excluded,2249,Decimal_schema_only_not_calibration
PF_ANTUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_ANTUSD,rankable_2023_2025,13979,Decimal
PF_ANTUSD,unknown_or_invalid,0,none
PF_APEUSD,pre_rankable_before_2023_excluded,2891,Decimal_schema_only_not_calibration
PF_APEUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_APEUSD,rankable_2023_2025,26297,Decimal
PF_APEUSD,unknown_or_invalid,0,none
PF_API3USD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_API3USD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_API3USD,rankable_2023_2025,16803,Decimal
PF_API3USD,unknown_or_invalid,0,none
PF_APTUSD,pre_rankable_before_2023_excluded,1766,Decimal_schema_only_not_calibration
PF_APTUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_APTUSD,rankable_2023_2025,26297,Decimal
PF_APTUSD,unknown_or_invalid,0,none
