time,open,high,low,close,volume,source_url,venue_symbol,chunk_start_utc,chunk_end_utc,resolution,historical_backfill,rankable_pre_holdout,contains_protected_period
1767139200000,2970.8,2970.8,2965.3,2966.2,24.997,https://futures.kraken.com/api/charts/v1/trade/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767139500000,2966.2,2966.4,2963,2963.9,22.788,https://futures.kraken.com/api/charts/v1/trade/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767139800000,2963.9,2964.3,2962.5,2963.6,14.396,https://futures.kraken.com/api/charts/v1/trade/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767140100000,2963.6,2964.7,2959.9,2961.2,13.499,https://futures.kraken.com/api/charts/v1/trade/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767140400000,2961.2,2965.2,2960.9,2964.1,53.734,https://futures.kraken.com/api/charts/v1/trade/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767140700000,2964.1,2968.4,2963.2,2966.9,215.7989999999999,https://futures.kraken.com/api/charts/v1/trade/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767141000000,2966.9,2966.9,2960.4,2966.2,46.45,https://futures.kraken.com/api/charts/v1/trade/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767141300000,2966.2,2966.2,2965,2965,1.989,https://futures.kraken.com/api/charts/v1/trade/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767141600000,2965,2966.6,2964.9,2966.4,2.007000000000001,https://futures.kraken.com/api/charts/v1/trade/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767141900000,2966.4,2966.4,2963.5,2965.2,9.83,https://futures.kraken.com/api/charts/v1/trade/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767142200000,2965.2,2966,2963.5,2964,7.648,https://futures.kraken.com/api/charts/v1/trade/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767142500000,2964,2964,2962.6,2963.4,3.369,https://futures.kraken.com/api/charts/v1/trade/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767142800000,2963.4,2963.4,2961.6,2962.5,47.676,https://futures.kraken.com/api/charts/v1/trade/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767143100000,2962.5,2964.2,2959.8,2961.2,26.242,https://futures.kraken.com/api/charts/v1/trade/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767143400000,2961.2,2966.3,2958.8,2965.5,97.901,https://futures.kraken.com/api/charts/v1/trade/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767143700000,2965.5,2980.1,2965.5,2978.9,90.6009999999999,https://futures.kraken.com/api/charts/v1/trade/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767144000000,2978.9,2981.5,2975.9,2977.5,95.1939999999999,https://futures.kraken.com/api/charts/v1/trade/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767144300000,2977.5,2977.6,2974.2,2977,21.903,https://futures.kraken.com/api/charts/v1/trade/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767144600000,2977,2981.1,2976.3,2980.5,12.837,https://futures.kraken.com/api/charts/v1/trade/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767144900000,2980.5,2982.7,2976.6,2976.6,130.085,https://futures.kraken.com/api/charts/v1/trade/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767145200000,2976.6,2981.4,2976.6,2979.3,75.197,https://futures.kraken.com/api/charts/v1/trade/PF_ETHUSD/5m?from=1767139200&to=1767225599,PF_ETHUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
