source_id,symbol,tick_type,url,request_from,request_to,access_utc,http_status,raw_path,raw_sha256,raw_bytes,headers_path,rows,first_candle_utc,last_candle_utc,more_candles,missing_5m_intervals,normalized_csv_path,normalized_content_sha256,normalized_parquet_path,normalized_parquet_sha256,returned_2026_rows,status
PF_XBTUSD_trade,PF_XBTUSD,trade,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,1767139200,1767225599,2026-07-17T06:33:34Z,200,docs/agent/task_archive/20260717_donch_bt_stage_2a1_c01_reference_panel_20260717_v1/sources/final_2025_day/PF_XBTUSD_trade.body,47ae4f8d10276fdc3baef1926bf66e1a602ab26357be901fdda30cbe43af7b10,29589,docs/agent/task_archive/20260717_donch_bt_stage_2a1_c01_reference_panel_20260717_v1/sources/final_2025_day/PF_XBTUSD_trade.headers.txt,288,2025-12-31T00:00:00Z,2025-12-31T23:55:00Z,false,0,normalized_final_2025_day/PF_XBTUSD_trade.csv,80d799e7d3be2174089a6517be70f50d506da5f47f93673522d16380f617d3e6,normalized_final_2025_day/PF_XBTUSD_trade.parquet,be02246e54d1c7396c978c76bfad84d213c444ba607c2493045c5526c44dbbc1,0,verified_complete
PF_XBTUSD_mark,PF_XBTUSD,mark,https://futures.kraken.com/api/charts/v1/mark/PF_XBTUSD/5m?from=1767139200&to=1767225599,1767139200,1767225599,2026-07-17T06:33:34Z,200,docs/agent/task_archive/20260717_donch_bt_stage_2a1_c01_reference_panel_20260717_v1/sources/final_2025_day/PF_XBTUSD_mark.body,1fb1f1de5b90dada8de8585fe354fd3f5dc9009c43dc8aece777cc2178607c35,40233,docs/agent/task_archive/20260717_donch_bt_stage_2a1_c01_reference_panel_20260717_v1/sources/final_2025_day/PF_XBTUSD_mark.headers.txt,288,2025-12-31T00:00:00Z,2025-12-31T23:55:00Z,false,0,normalized_final_2025_day/PF_XBTUSD_mark.csv,39364995311f55b123be0636da548a24e906a316b9c166e96322615b1f6a2591,normalized_final_2025_day/PF_XBTUSD_mark.parquet,d8c385f12fab01d145a4e5a42e5672579db322999920417d2a5fcc857ee6163b,0,verified_complete
PF_ETHUSD_trade,PF_ETHUSD,trade,https://futures.kraken.com/api/charts/v1/trade/PF_ETHUSD/5m?from=1767139200&to=1767225599,1767139200,1767225599,2026-07-17T06:33:34Z,200,docs/agent/task_archive/20260717_donch_bt_stage_2a1_c01_reference_panel_20260717_v1/sources/final_2025_day/PF_ETHUSD_trade.body,04a18aa50a664c6420d6cf10496d41513e40e17d3b9dbaeed298d5eec4e421c7,30618,docs/agent/task_archive/20260717_donch_bt_stage_2a1_c01_reference_panel_20260717_v1/sources/final_2025_day/PF_ETHUSD_trade.headers.txt,288,2025-12-31T00:00:00Z,2025-12-31T23:55:00Z,false,0,normalized_final_2025_day/PF_ETHUSD_trade.csv,d1f8bc5c7a194618f9322ce3c2b729fcd47ee94be1fb8d8d82e0e7f2495937e3,normalized_final_2025_day/PF_ETHUSD_trade.parquet,89d65926b47c3e087b3f4fa4b0a31ff1dbe1f9d20d0f5f8925bd85d2756d962d,0,verified_complete
PF_ETHUSD_mark,PF_ETHUSD,mark,https://futures.kraken.com/api/charts/v1/mark/PF_ETHUSD/5m?from=1767139200&to=1767225599,1767139200,1767225599,2026-07-17T06:33:34Z,200,docs/agent/task_archive/20260717_donch_bt_stage_2a1_c01_reference_panel_20260717_v1/sources/final_2025_day/PF_ETHUSD_mark.body,b1d6f6e77c5d584244edc4e4ab835b31a8b9e4573cab79422474ba973006cca8,40200,docs/agent/task_archive/20260717_donch_bt_stage_2a1_c01_reference_panel_20260717_v1/sources/final_2025_day/PF_ETHUSD_mark.headers.txt,288,2025-12-31T00:00:00Z,2025-12-31T23:55:00Z,false,0,normalized_final_2025_day/PF_ETHUSD_mark.csv,9a2a91f00a1249dfa83c0b07ab7abf450c253c09efc6c97ca717127460abcc8d,normalized_final_2025_day/PF_ETHUSD_mark.parquet,a8999826c72ba6b2e023e98d62d01602ba948e0213c39794433f5dacbd7cab33,0,verified_complete
