definition_id,funding_partition,trades,exact_boundaries,imputed_boundaries,central_cashflow_bps,conservative_cashflow_bps,severe_cashflow_bps
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_6h,fully_exact,95,570,0,0.5389259802140751,0.5389259802140751,0.5389259802140751
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_6h,fully_imputed,1052,0,6312,-0.21272041162370833,-2.597133020327259,-10.46296988762802
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_6h,mixed,7,18,24,0.004751459229759766,-1.3642279918151456,-5.916825111083038
kda03_v1_robustness_negative_reference_led_catchup_timeout_1h,fully_exact,458,458,0,-0.1566906279723314,-0.1566906279723314,-0.1566906279723314
kda03_v1_robustness_negative_reference_led_catchup_timeout_1h,fully_imputed,4710,0,4710,-0.027431463231042022,-0.421175583345181,-1.724190642236902
kda03_v1_robustness_negative_reference_led_catchup_timeout_6h,fully_exact,390,2340,0,-0.9571034575964164,-0.9571034575964164,-0.9571034575964164
kda03_v1_robustness_negative_reference_led_catchup_timeout_6h,fully_imputed,4059,0,24354,-0.17022737149970185,-2.5350195524403536,-10.360088337767072
kda03_v1_robustness_negative_reference_led_catchup_timeout_6h,mixed,44,138,126,-0.5740745211254936,-1.7176322582155918,-5.521144732039932
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_1h,fully_exact,2288,2288,0,-0.16952886337755016,-0.16952886337755016,-0.16952886337755016
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_1h,fully_imputed,19645,0,19645,-0.039957620067591404,-0.4378855583381559,-1.754433999740415
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_6h,fully_exact,1447,8682,0,-0.9410796400810332,-0.9410796400810332,-0.9410796400810332
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_6h,fully_imputed,13809,0,82854,-0.23269399732149637,-2.6197804861185707,-10.520832073634885
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_6h,mixed,157,450,492,-0.5499099802896917,-1.7411491809690927,-5.3627429443987
kda03_v1_robustness_positive_completed_basis_impulse_rejection_timeout_1h,fully_exact,275,275,0,0.1100021845822761,0.1100021845822761,0.1100021845822761
kda03_v1_robustness_positive_completed_basis_impulse_rejection_timeout_1h,fully_imputed,2257,0,2257,0.04084051884108229,-0.3569407683501787,-1.6779749078403043
kda03_v1_robustness_positive_completed_basis_impulse_rejection_timeout_6h,fully_exact,242,1452,0,0.7277339550958005,0.7277339550958005,0.7277339550958005
kda03_v1_robustness_positive_completed_basis_impulse_rejection_timeout_6h,fully_imputed,2078,0,12468,0.24364122818508263,-2.145042335955723,-10.07900941659762
kda03_v1_robustness_positive_completed_basis_impulse_rejection_timeout_6h,mixed,23,62,76,0.38316559210950824,-0.7284973229241811,-4.424573010411452
kda03_v1_robustness_positive_reference_led_catchup_timeout_1h,fully_exact,679,679,0,0.13718641770236817,0.13718641770236817,0.13718641770236817
kda03_v1_robustness_positive_reference_led_catchup_timeout_1h,fully_imputed,7372,0,7372,0.02677106754995279,-0.3670896203713836,-1.6749512501306856
kda03_v1_robustness_positive_reference_led_catchup_timeout_6h,fully_exact,536,3216,0,0.783451117979428,0.783451117979428,0.783451117979428
kda03_v1_robustness_positive_reference_led_catchup_timeout_6h,fully_imputed,6119,0,36714,0.16733502870605393,-2.1960229629973433,-10.042855977754856
kda03_v1_robustness_positive_reference_led_catchup_timeout_6h,mixed,78,222,246,0.5113195956782002,-0.6899139219438283,-4.657716327641801
