branch_id,attempt,parent_direction,trade_direction,year,symbol,event_count
primary_negative_completed_failure,primary,-1,1,2023,PF_AAVEUSD,10
primary_negative_completed_failure,primary,-1,1,2023,PF_ADAUSD,111
primary_negative_completed_failure,primary,-1,1,2023,PF_ATOMUSD,105
primary_negative_completed_failure,primary,-1,1,2023,PF_AVAXUSD,29
primary_negative_completed_failure,primary,-1,1,2023,PF_AXSUSD,2
primary_negative_completed_failure,primary,-1,1,2023,PF_BCHUSD,145
primary_negative_completed_failure,primary,-1,1,2023,PF_CRVUSD,173
primary_negative_completed_failure,primary,-1,1,2023,PF_DOGEUSD,77
primary_negative_completed_failure,primary,-1,1,2023,PF_DOTUSD,5
primary_negative_completed_failure,primary,-1,1,2023,PF_ETHUSD,31
primary_negative_completed_failure,primary,-1,1,2023,PF_LINKUSD,75
primary_negative_completed_failure,primary,-1,1,2023,PF_LTCUSD,103
primary_negative_completed_failure,primary,-1,1,2023,PF_SOLUSD,114
primary_negative_completed_failure,primary,-1,1,2023,PF_UNIUSD,22
primary_negative_completed_failure,primary,-1,1,2023,PF_XBTUSD,37
primary_negative_completed_failure,primary,-1,1,2023,PF_XRPUSD,60
primary_negative_completed_failure,primary,-1,1,2024,PF_1INCHUSD,3
primary_negative_completed_failure,primary,-1,1,2024,PF_AAVEUSD,49
primary_negative_completed_failure,primary,-1,1,2024,PF_ADAUSD,29
primary_negative_completed_failure,primary,-1,1,2024,PF_APEUSD,29
primary_negative_completed_failure,primary,-1,1,2024,PF_APTUSD,51
primary_negative_completed_failure,primary,-1,1,2024,PF_ARBUSD,32
primary_negative_completed_failure,primary,-1,1,2024,PF_ATOMUSD,93
primary_negative_completed_failure,primary,-1,1,2024,PF_AVAXUSD,80
primary_negative_completed_failure,primary,-1,1,2024,PF_AXSUSD,2
primary_negative_completed_failure,primary,-1,1,2024,PF_BCHUSD,127
primary_negative_completed_failure,primary,-1,1,2024,PF_BEAMUSD,4
primary_negative_completed_failure,primary,-1,1,2024,PF_BNBUSD,31
primary_negative_completed_failure,primary,-1,1,2024,PF_BONKUSD,44
primary_negative_completed_failure,primary,-1,1,2024,PF_CRVUSD,132
primary_negative_completed_failure,primary,-1,1,2024,PF_DASHUSD,11
primary_negative_completed_failure,primary,-1,1,2024,PF_DOGEUSD,26
primary_negative_completed_failure,primary,-1,1,2024,PF_DOTUSD,43
primary_negative_completed_failure,primary,-1,1,2024,PF_DYMUSD,6
primary_negative_completed_failure,primary,-1,1,2024,PF_ENSUSD,69
primary_negative_completed_failure,primary,-1,1,2024,PF_ETHUSD,62
primary_negative_completed_failure,primary,-1,1,2024,PF_FILUSD,19
primary_negative_completed_failure,primary,-1,1,2024,PF_GALAUSD,1
primary_negative_completed_failure,primary,-1,1,2024,PF_ICPUSD,49
primary_negative_completed_failure,primary,-1,1,2024,PF_IMXUSD,74
primary_negative_completed_failure,primary,-1,1,2024,PF_INJUSD,27
primary_negative_completed_failure,primary,-1,1,2024,PF_JUPUSD,28
primary_negative_completed_failure,primary,-1,1,2024,PF_KASUSD,38
primary_negative_completed_failure,primary,-1,1,2024,PF_LDOUSD,73
primary_negative_completed_failure,primary,-1,1,2024,PF_LINKUSD,34
primary_negative_completed_failure,primary,-1,1,2024,PF_LPTUSD,11
primary_negative_completed_failure,primary,-1,1,2024,PF_LTCUSD,124
primary_negative_completed_failure,primary,-1,1,2024,PF_NEARUSD,40
primary_negative_completed_failure,primary,-1,1,2024,PF_ONDOUSD,1
primary_negative_completed_failure,primary,-1,1,2024,PF_OPUSD,19
primary_negative_completed_failure,primary,-1,1,2024,PF_ORDIUSD,55
primary_negative_completed_failure,primary,-1,1,2024,PF_PEPEUSD,63
primary_negative_completed_failure,primary,-1,1,2024,PF_RUNEUSD,57
primary_negative_completed_failure,primary,-1,1,2024,PF_SEIUSD,13
primary_negative_completed_failure,primary,-1,1,2024,PF_SHIBUSD,81
primary_negative_completed_failure,primary,-1,1,2024,PF_SNXUSD,57
primary_negative_completed_failure,primary,-1,1,2024,PF_SOLUSD,59
primary_negative_completed_failure,primary,-1,1,2024,PF_STRKUSD,52
primary_negative_completed_failure,primary,-1,1,2024,PF_STXUSD,2
primary_negative_completed_failure,primary,-1,1,2024,PF_SUIUSD,50
primary_negative_completed_failure,primary,-1,1,2024,PF_TIAUSD,66
primary_negative_completed_failure,primary,-1,1,2024,PF_TRXUSD,5
primary_negative_completed_failure,primary,-1,1,2024,PF_UNIUSD,93
primary_negative_completed_failure,primary,-1,1,2024,PF_WIFUSD,72
primary_negative_completed_failure,primary,-1,1,2024,PF_WLDUSD,70
primary_negative_completed_failure,primary,-1,1,2024,PF_WUSD,25
primary_negative_completed_failure,primary,-1,1,2024,PF_XBTUSD,41
primary_negative_completed_failure,primary,-1,1,2024,PF_XLMUSD,26
primary_negative_completed_failure,primary,-1,1,2024,PF_XMRUSD,146
primary_negative_completed_failure,primary,-1,1,2024,PF_XRPUSD,93
primary_negative_completed_failure,primary,-1,1,2024,PF_ZECUSD,27
primary_negative_completed_failure,primary,-1,1,2025,PF_AAVEUSD,261
primary_negative_completed_failure,primary,-1,1,2025,PF_ADAUSD,257
primary_negative_completed_failure,primary,-1,1,2025,PF_AIXBTUSD,1
primary_negative_completed_failure,primary,-1,1,2025,PF_ALCHUSD,16
primary_negative_completed_failure,primary,-1,1,2025,PF_ALGOUSD,206
primary_negative_completed_failure,primary,-1,1,2025,PF_APEUSD,125
