feature,slice,state,n_bin0,n_bin9,mean_pnl_R_bin0,mean_pnl_R_bin9,delta_mean_pnl_R,time_rate_bin0,time_rate_bin9,delta_time_rate,mean_pnl_R_not_time_bin0,mean_pnl_R_not_time_bin9,delta_mean_pnl_R_not_time,spearman_pnl_R,spearman_time_rate,rank_abs_delta_pnl,rank_pnl_minus_time
asset_rsi_4h,S1_regime_code_1d,0,67,186,-0.8907132552242459,1.0996200341316371,1.990333289355883,0.04477611940298507,0.26344086021505375,0.2186647408120687,-0.9631293047062414,1.054745949601157,2.0178752543073983,0.9666666666666667,0.7666666666666667,1.990333289355883,1.8810009189498487
btc_vol_regime_level,S1_regime_code_1d,0,175,89,1.503549945624796,-0.4439578187425315,-1.9475077643673275,0.13714285714285715,0.10112359550561797,-0.036019261637239175,1.5762686994650483,-0.4837209357804719,-2.05998963524552,-0.08571428571428573,0.3142857142857143,1.9475077643673275,-1.929498133548708
vol_prob_low_1d,S5_btcRisk_x_regimeUp,5,449,318,1.5055922215830408,-0.35459233157521264,-1.8601845531582535,0.29398663697104677,0.1792452830188679,-0.11474135395217885,1.6011508246956807,-0.5796256984228126,-2.1807765231184932,-0.7212121212121211,0.06666666666666665,1.8601845531582535,-1.8028138761821642
vol_prob_low_1d,risk_on,1,449,318,1.5055922215830408,-0.35459233157521264,-1.8601845531582535,0.29398663697104677,0.1792452830188679,-0.11474135395217885,1.6011508246956807,-0.5796256984228126,-2.1807765231184932,-0.7212121212121211,0.06666666666666665,1.8601845531582535,-1.8028138761821642
rsi_1h,S1_regime_code_1d,0,61,172,-0.48449959756741495,1.2017031315875308,1.6862027291549457,0.21311475409836064,0.19767441860465115,-0.01544033549370949,-0.8163364494006909,1.1093867114771698,1.9257231608778609,0.8787878787878788,0.07294866524160776,1.6862027291549457,1.6939228969018005
asset_rsi_4h,S3_funding_x_oi,5,52,116,-0.6968099906985863,0.8817215399080361,1.5785315306066225,0.1346153846153846,0.19827586206896552,0.06366047745358092,-0.8693422080530991,0.8536217383611958,1.722963946414295,0.6571428571428573,0.2,1.5785315306066225,1.5467012918798322
rs_pct,S5_btcRisk_x_regimeUp,4,226,169,-0.8966038718418208,0.6384284295483305,1.5350323013901512,0.061946902654867256,0.1893491124260355,0.12740220977116823,-0.9916313145990989,0.6293064414124914,1.6209377560115903,0.9393939393939393,0.9272727272727272,1.5350323013901512,1.471331196504567
vol_prob_low_1d,S3_funding_x_oi,5,98,71,0.7445740140043285,-0.7639254646866123,-1.5084994786909407,0.16326530612244897,0.16901408450704225,0.005748778384593284,0.7452640453513033,-1.0881193710959538,-1.833383416447257,-0.4523809523809524,0.4761904761904762,1.5084994786909407,-1.5113738678832374
rs_pct,S3_funding_x_oi,8,213,178,-0.5461695207160083,0.9282551437876954,1.4744246645037036,0.09389671361502347,0.23595505617977527,0.1420583425647518,-0.724327366317536,0.9327296898603207,1.6570570561778566,0.8181818181818182,0.7333333333333332,1.4744246645037036,1.4033954932213277
asset_rsi_4h,S3_funding_x_oi,3,101,67,-0.8868884449230809,0.5708322158502785,1.4577206607733595,0.07920792079207921,0.07462686567164178,-0.0045810551204374245,-0.9784417123727039,0.4907189989814539,1.4691607113541578,0.9030303030303028,0.09090909090909088,1.4577206607733595,1.4600111883335782
