feature,scope,month,mean_bin0,mean_bin9,delta_mean_pnl_R
adx_1h,ALL,2023-01,-0.26582712610461695,-0.17144880528840573,0.09437832081621123
adx_1h,ALL,2023-02,-0.4062734623509087,-0.35465817256405036,0.051615289786858365
adx_1h,ALL,2023-03,-1.03843777981699,0.2342750925948775,1.2727128724118675
adx_1h,ALL,2023-04,-0.4719218149652529,-1.1626039893462021,-0.6906821743809493
adx_1h,ALL,2023-05,-0.3151172274267333,-0.16632813820751247,0.14878908921922085
adx_1h,ALL,2023-06,-1.0461447767666,0.18750961075128914,1.233654387517889
adx_1h,ALL,2023-07,-0.6164950279164397,-0.6139875942513979,0.0025074336650418028
adx_1h,ALL,2023-08,-1.06264160746503,0.31448493924390863,1.3771265467089386
adx_1h,ALL,2023-09,-0.6174330441451272,-0.7885758330665535,-0.17114278892142631
adx_1h,ALL,2023-10,0.0916798331851026,0.06020750632189418,-0.03147232686320842
adx_1h,ALL,2023-11,-0.6457119290470938,0.32704867116652564,0.9727606002136195
adx_1h,ALL,2023-12,0.3188801969797928,0.4318909872789492,0.1130107902991564
adx_1h,ALL,2024-01,-0.824112925318805,-1.013209145549605,-0.18909622023080008
adx_1h,ALL,2024-02,-0.015703943657599778,0.4361466273016524,0.4518505709592522
adx_1h,ALL,2024-03,-0.49502895929275825,-0.05831724893887106,0.4367117103538872
adx_1h,ALL,2024-04,-1.0140357204105,-0.5735743731972924,0.4404613472132075
adx_1h,ALL,2024-05,-0.3828157508551976,-0.3794898800020041,0.003325870853193469
adx_1h,ALL,2024-06,-0.8857043176822766,-1.3655044937877034,-0.4798001761054268
adx_1h,ALL,2024-07,-0.5732141778958983,-0.6274806275636174,-0.0542664496677191
adx_1h,ALL,2024-08,-0.5237662079476966,-0.4676786618423512,0.05608754610534539
adx_1h,ALL,2024-09,-0.08844877299393208,-0.31554641809401207,-0.22709764510008
adx_1h,ALL,2024-10,0.26243813864399,-0.44531528040970125,-0.7077534190536913
adx_1h,ALL,2024-11,-0.31885555968699364,0.403784168585987,0.7226397282729806
adx_1h,ALL,2024-12,0.2320751011737921,0.20913929666276573,-0.022935804511026364
adx_1h,ALL,2025-01,-0.950484956679508,-0.685662823747085,0.26482213293242307
adx_1h,ALL,2025-02,1.478029134476345,-0.3160858334796346,-1.7941149679559796
adx_1h,ALL,2025-03,-1.0314016508913733,-0.5588366794159303,0.47256497147544296
adx_1h,ALL,2025-04,-0.3850582137417981,0.3866975329468197,0.7717557466886178
adx_1h,ALL,2025-05,-0.975698696479499,1.1822028186570253,2.1579015151365244
adx_1h,ALL,2025-06,-1.102343981166975,-0.40968257640603617,0.692661404760939
adx_1h,ALL,2025-07,-0.07181506587506715,0.10387350694222333,0.1756885728172905
adx_1h,ALL,2025-08,0.13919688775270644,-0.045524562252081874,-0.18472145000478832
adx_1h,ALL,2025-09,-0.7312803898503725,0.2403312123746549,0.9716116022250274
adx_1h,ALL,2025-10,0.81520491572153,0.06268437402027803,-0.7525205417012519
adx_1h,ALL,2025-11,-1.0355075566254024,-0.6795347115965775,0.35597284502882487
asset_macd_hist_1h,ALL,2023-01,-0.2192473711831683,-0.9327906768691075,-0.7135433056859393
asset_macd_hist_1h,ALL,2023-02,-0.12691347364687794,-0.48406769902575203,-0.3571542253788741
asset_macd_hist_1h,ALL,2023-03,-0.29155390771292367,-0.02516327960758651,0.26639062810533715
asset_macd_hist_1h,ALL,2023-04,-0.21916745466841242,-0.07334027859929622,0.14582717606911622
asset_macd_hist_1h,ALL,2023-05,0.181338261129544,-1.0534145398689734,-1.2347528009985174
asset_macd_hist_1h,ALL,2023-06,-0.05107133832882587,1.6619754561038376,1.7130467944326635
asset_macd_hist_1h,ALL,2023-07,-0.6099085358331365,-0.8937693419902835,-0.2838608061571469
asset_macd_hist_1h,ALL,2023-08,0.755122615972682,-1.02089300514326,-1.7760156211159421
asset_macd_hist_1h,ALL,2023-09,1.0916046821623064,-0.41800822996919285,-1.5096129121314994
asset_macd_hist_1h,ALL,2023-10,-0.10098223350870073,-0.051687796329945024,0.0492944371787557
asset_macd_hist_1h,ALL,2023-11,-0.16530520369825794,-0.1557019482195796,0.009603255478678324
asset_macd_hist_1h,ALL,2023-12,0.2953746015502106,0.5430253316250963,0.24765073007488564
asset_macd_hist_1h,ALL,2024-01,-0.8459801449705643,0.12498933443457166,0.970969479405136
asset_macd_hist_1h,ALL,2024-02,-0.07957450628634394,0.24811782491915568,0.3276923312054996
asset_macd_hist_1h,ALL,2024-03,-0.20716560224851174,-0.3624416522362941,-0.15527604998778236
asset_macd_hist_1h,ALL,2024-04,0.06975307274979643,-0.5965636883670561,-0.6663167611168526
asset_macd_hist_1h,ALL,2024-05,-0.5033774057935437,-0.2713646514105616,0.23201275438298213
