definition_id,attempt,all_gates_pass,decision
kda02_v2_primary_negative_completed_purge_reversal_timeout_1h,primary,False,no_primary_pass
kda02_v2_primary_negative_completed_purge_reversal_timeout_6h,primary,False,no_primary_pass
kda02_v2_primary_positive_completed_purge_reversal_timeout_1h,primary,False,no_primary_pass
kda02_v2_primary_positive_completed_purge_reversal_timeout_6h,primary,False,no_primary_pass
kda02_v2_robustness_negative_completed_purge_reversal_timeout_1h,robustness,False,robustness_diagnostic_only
kda02_v2_robustness_negative_completed_purge_reversal_timeout_6h,robustness,False,robustness_diagnostic_only
kda02_v2_robustness_positive_completed_purge_reversal_timeout_1h,robustness,False,robustness_diagnostic_only
kda02_v2_robustness_positive_completed_purge_reversal_timeout_6h,robustness,False,robustness_diagnostic_only
