fold,train_n,test_n,t_train_end,t_test_start,t_test_end
0,2055,852,2024-11-11 00:00:00+00:00,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00
1,2720,716,2025-07-10 00:00:00+00:00,2025-07-11 00:00:00+00:00,2025-10-07 11:45:00+00:00
