model,fold,target,train_n,test_n,t_test_start,t_test_end,scope,n,pos_rate,auc,avg_precision,logloss,brier,accuracy@0.5,precision@0.5,recall@0.5,mean_pnl_R,top10_n,top10_mean_pnl_R,top10_winrate,top10_timerate
logreg,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,ALL,852.0,0.3779342723004695,0.6552033282550099,0.5205942610914777,0.7832264417220786,0.2669478982290626,0.607981220657277,0.48654708520179374,0.6739130434782609,0.5426976580889751,85.0,1.717022669408932,0.6705882352941176,0.2235294117647059
logreg,1,y_good_05,2720,716,2025-07-11 00:00:00+00:00,2025-10-07 11:45:00+00:00,ALL,716.0,0.2849162011173184,0.6728898590686274,0.4441126299373969,0.5977051942351771,0.20206328120988268,0.6829608938547486,0.4427860696517413,0.4362745098039216,0.08729826173606374,71.0,1.2574804096351522,0.5633802816901409,0.2535211267605634
lgbm,0,y_good_05,2055,852,2024-11-12 00:00:00+00:00,2025-07-11 00:00:00+00:00,ALL,852.0,0.3779342723004695,0.7838743700925817,0.6992805438364292,0.7841895786322864,0.21736991592705276,0.7206572769953051,0.78,0.36335403726708076,0.5426976580889751,85.0,2.9004298338891257,0.8705882352941177,0.18823529411764706
lgbm,1,y_good_05,2720,716,2025-07-11 00:00:00+00:00,2025-10-07 11:45:00+00:00,ALL,716.0,0.2849162011173184,0.7128523284313726,0.4903347382639047,0.7984414043190532,0.21181345894185583,0.723463687150838,0.525,0.3088235294117647,0.08729826173606374,71.0,1.5950951812811247,0.6619718309859155,0.2535211267605634
